StudentCourseGradeID,StudentCourseID,GradeTypeID,CreditAttempted,CreditGiven,NumericGrade,AlphaGrade,AlphaNumericGrade
345,116610,5,,,0.00,F,0.00
346,116610,8,,,3.00,F,0.00
347,116610,10,,,5.00,F,0.00
348,116610,11,,,6.00,F,0.00
349,116611,3,,,67.00,D,1.00
350,116611,4,,,64.00,D,1.00
351,116611,5,,,67.00,D,1.00
352,116611,8,,,70.00,C,2.00
353,116611,10,,,72.00,C,2.00
354,116611,11,,,73.00,C,2.00
355,116612,3,,,65.00,D,1.00
356,116612,4,,,62.00,D,1.00
357,116612,5,,,65.00,D,1.00
358,116612,8,,,68.00,D,1.00
359,116612,10,,,70.00,C,2.00
360,116612,11,,,71.00,C,2.00
361,116613,3,,,76.00,C,2.00
362,116613,4,,,73.00,C,2.00
363,116613,5,,,76.00,C,2.00
364,116613,8,,,79.00,C,2.00
365,116613,10,,,81.00,B,3.00
366,116613,11,,,82.00,B,3.00
367,116614,3,,,75.00,C,2.00
368,116614,4,,,72.00,C,2.00
369,116614,5,,,75.00,C,2.00
370,116614,8,,,78.00,C,2.00
371,116614,10,,,80.00,B,3.00
372,116614,11,,,81.00,B,3.00
373,116615,3,,,87.00,B,3.00
374,116615,4,,,84.00,B,3.00
375,116615,5,,,87.00,B,3.00
376,116615,8,,,90.00,A,4.00
377,116615,10,,,92.00,A,4.00
378,116615,11,,,93.00,A,4.00
379,116616,3,,,99.00,A,4.00
380,116616,4,,,96.00,A,4.00
381,116616,5,,,99.00,A,4.00
382,116616,8,,,100.00,A,4.00
383,116616,10,,,100.00,A,4.00
384,116616,11,,,100.00,A,4.00
385,116617,3,,,70.00,C,2.00
386,116617,4,,,67.00,D,1.00
387,116617,5,,,70.00,C,2.00
388,116617,8,,,73.00,C,2.00
389,116617,10,,,75.00,C,2.00
390,116617,11,,,76.00,C,2.00
391,116618,3,,,99.00,A,4.00
392,116618,4,,,96.00,A,4.00
393,116618,5,,,99.00,A,4.00
394,116618,8,,,100.00,A,4.00
395,116618,10,,,100.00,A,4.00
396,116618,11,,,100.00,A,4.00
397,116619,3,,,89.00,B,3.00
398,116619,4,,,86.00,B,3.00
399,116619,5,,,89.00,B,3.00
400,116619,8,,,92.00,A,4.00
401,116619,10,,,94.00,A,4.00
402,116619,11,,,95.00,A,4.00
403,116620,3,,,0.00,F,0.00
404,116620,4,,,0.00,F,0.00
405,116620,5,,,0.00,F,0.00
406,116620,8,,,3.00,F,0.00
407,116620,10,,,5.00,F,0.00
408,116620,11,,,6.00,F,0.00
409,116621,3,,,96.00,A,4.00
410,116621,4,,,93.00,A,4.00
411,116621,5,,,96.00,A,4.00
412,116621,8,,,99.00,A,4.00
413,116621,10,,,100.00,A,4.00
414,116621,11,,,100.00,A,4.00
415,116622,3,,,93.00,A,4.00
416,116622,4,,,90.00,A,4.00
417,116622,5,,,93.00,A,4.00
418,116622,8,,,96.00,A,4.00
419,116622,10,,,98.00,A,4.00
420,116622,11,,,99.00,A,4.00
421,116623,3,,,83.00,B,3.00
422,116623,4,,,80.00,B,3.00
423,116623,5,,,83.00,B,3.00
424,116623,8,,,86.00,B,3.00
425,116623,10,,,88.00,B,3.00
426,116623,11,,,89.00,B,3.00
427,116624,3,,,95.00,A,4.00
428,116624,4,,,92.00,A,4.00
429,116624,5,,,95.00,A,4.00
430,116624,8,,,98.00,A,4.00
431,116624,10,,,100.00,A,4.00
432,116624,11,,,100.00,A,4.00
433,116625,3,,,72.00,C,2.00
434,116625,4,,,69.00,D,1.00
435,116625,5,,,72.00,C,2.00
436,116625,8,,,75.00,C,2.00
437,116625,10,,,77.00,C,2.00
438,116625,11,,,78.00,C,2.00
439,116626,3,,,81.00,B,3.00
440,116626,4,,,78.00,C,2.00
441,116626,5,,,81.00,B,3.00
442,116626,8,,,84.00,B,3.00
443,116626,10,,,86.00,B,3.00
444,116626,11,,,87.00,B,3.00
445,116627,3,,,0.00,F,0.00
446,116627,4,,,0.00,F,0.00
447,116627,5,,,0.00,F,0.00
448,116627,8,,,3.00,F,0.00
449,116627,10,,,5.00,F,0.00
450,116627,11,,,6.00,F,0.00
451,116628,3,,,81.00,B,3.00
452,116628,4,,,78.00,C,2.00
453,116628,5,,,81.00,B,3.00
454,116628,8,,,84.00,B,3.00
455,116628,10,,,86.00,B,3.00
456,116628,11,,,87.00,B,3.00
457,116629,3,,,94.00,A,4.00
458,116629,4,,,91.00,A,4.00
459,116629,5,,,94.00,A,4.00
460,116629,8,,,97.00,A,4.00
461,116629,10,,,99.00,A,4.00
462,116629,11,,,100.00,A,4.00
463,116630,3,,,90.00,A,4.00
464,116630,4,,,87.00,B,3.00
465,116630,5,,,90.00,A,4.00
466,116630,8,,,93.00,A,4.00
467,116630,10,,,95.00,A,4.00
468,116630,11,,,96.00,A,4.00
469,116631,3,,,60.00,D,1.00
470,116631,4,,,57.00,F,0.00
471,116631,5,,,60.00,D,1.00
472,116631,8,,,63.00,D,1.00
473,116631,10,,,65.00,D,1.00
474,116631,11,,,66.00,D,1.00
475,116632,3,,,89.00,B,3.00
476,116632,4,,,86.00,B,3.00
477,116632,5,,,89.00,B,3.00
478,116632,8,,,92.00,A,4.00
479,116632,10,,,94.00,A,4.00
480,116632,11,,,95.00,A,4.00
481,116633,3,,,72.00,C,2.00
482,116633,4,,,69.00,D,1.00
483,116633,5,,,72.00,C,2.00
484,116633,8,,,75.00,C,2.00
485,116633,10,,,77.00,C,2.00
486,116633,11,,,78.00,C,2.00
487,116634,3,,,0.00,F,0.00
488,116634,4,,,0.00,F,0.00
489,116634,5,,,0.00,F,0.00
490,116634,8,,,3.00,F,0.00
491,116634,10,,,5.00,F,0.00
492,116634,11,,,6.00,F,0.00
493,116635,3,,,89.00,B,3.00
494,116635,4,,,86.00,B,3.00
495,116635,5,,,89.00,B,3.00
496,116635,8,,,92.00,A,4.00
497,116635,10,,,94.00,A,4.00
498,116635,11,,,95.00,A,4.00
499,116636,3,,,82.00,B,3.00
500,116636,4,,,79.00,C,2.00
501,116636,5,,,82.00,B,3.00
502,116636,8,,,85.00,B,3.00
503,116636,10,,,87.00,B,3.00
504,116636,11,,,88.00,B,3.00
505,116637,3,,,91.00,A,4.00
506,116637,4,,,88.00,B,3.00
507,116637,5,,,91.00,A,4.00
508,116637,8,,,94.00,A,4.00
509,116637,10,,,96.00,A,4.00
510,116637,11,,,97.00,A,4.00
511,116638,3,,,78.00,C,2.00
512,116638,4,,,75.00,C,2.00
513,116638,5,,,78.00,C,2.00
514,116638,8,,,81.00,B,3.00
515,116638,10,,,83.00,B,3.00
516,116638,11,,,84.00,B,3.00
517,116639,3,,,91.00,A,4.00
518,116639,4,,,88.00,B,3.00
519,116639,5,,,91.00,A,4.00
520,116639,8,,,94.00,A,4.00
521,116639,10,,,96.00,A,4.00
522,116639,11,,,97.00,A,4.00
523,116640,3,,,90.00,A,4.00
524,116640,4,,,87.00,B,3.00
525,116640,5,,,90.00,A,4.00
526,116640,8,,,93.00,A,4.00
527,116640,10,,,95.00,A,4.00
528,116640,11,,,96.00,A,4.00
529,116641,3,,,86.00,B,3.00
530,116641,4,,,83.00,B,3.00
531,116641,5,,,86.00,B,3.00
532,116641,8,,,89.00,B,3.00
533,116641,10,,,91.00,A,4.00
534,116641,11,,,92.00,A,4.00
535,116642,3,,,93.00,A,4.00
536,116642,4,,,90.00,A,4.00
537,116642,5,,,93.00,A,4.00
538,116642,8,,,96.00,A,4.00
539,116642,10,,,98.00,A,4.00
540,116642,11,,,99.00,A,4.00
541,116643,3,,,89.00,B,3.00
542,116643,4,,,86.00,B,3.00
543,116643,5,,,89.00,B,3.00
544,116643,8,,,92.00,A,4.00
545,116643,10,,,94.00,A,4.00
546,116643,11,,,95.00,A,4.00
547,116644,3,,,0.00,F,0.00
548,116644,4,,,0.00,F,0.00
549,116644,5,,,0.00,F,0.00
550,116644,8,,,3.00,F,0.00
551,116644,10,,,5.00,F,0.00
552,116644,11,,,6.00,F,0.00
553,116645,3,,,83.00,B,3.00
554,116645,4,,,80.00,B,3.00
555,116645,5,,,83.00,B,3.00
556,116645,8,,,86.00,B,3.00
557,116645,10,,,88.00,B,3.00
558,116645,11,,,89.00,B,3.00
559,116646,3,,,23.00,F,0.00
560,116646,4,,,20.00,F,0.00
561,116646,5,,,23.00,F,0.00
562,116646,8,,,26.00,F,0.00
563,116646,10,,,28.00,F,0.00
564,116646,11,,,29.00,F,0.00
565,116647,3,,,55.00,F,0.00
566,116647,4,,,52.00,F,0.00
567,116647,5,,,55.00,F,0.00
568,116647,8,,,58.00,F,0.00
569,116647,10,,,60.00,D,1.00
570,116647,11,,,61.00,D,1.00
571,116648,3,,,40.00,F,0.00
572,116648,4,,,37.00,F,0.00
573,116648,5,,,40.00,F,0.00
574,116648,8,,,43.00,F,0.00
575,116648,10,,,45.00,F,0.00
576,116648,11,,,46.00,F,0.00
577,116649,3,,,56.00,F,0.00
578,116649,4,,,53.00,F,0.00
579,116649,5,,,56.00,F,0.00
580,116649,8,,,59.00,F,0.00
581,116649,10,,,61.00,D,1.00
582,116649,11,,,62.00,D,1.00
583,116650,3,,,83.00,B,3.00
584,116650,4,,,80.00,B,3.00
585,116650,5,,,83.00,B,3.00
586,116650,8,,,86.00,B,3.00
587,116650,10,,,88.00,B,3.00
588,116650,11,,,89.00,B,3.00
589,116651,3,,,64.00,D,1.00
590,116651,4,,,61.00,D,1.00
591,116651,5,,,64.00,D,1.00
592,116651,8,,,67.00,D,1.00
593,116651,10,,,69.00,D,1.00
594,116651,11,,,70.00,C,2.00
595,116652,3,,,88.00,B,3.00
596,116652,4,,,85.00,B,3.00
597,116652,5,,,88.00,B,3.00
598,116652,8,,,91.00,A,4.00
599,116652,10,,,93.00,A,4.00
600,116652,11,,,94.00,A,4.00
601,116653,3,,,86.00,B,3.00
602,116653,4,,,83.00,B,3.00
603,116653,5,,,86.00,B,3.00
604,116653,8,,,89.00,B,3.00
605,116653,10,,,91.00,A,4.00
606,116653,11,,,92.00,A,4.00
607,116654,3,,,97.00,A,4.00
608,116654,4,,,94.00,A,4.00
609,116654,5,,,97.00,A,4.00
610,116654,8,,,100.00,A,4.00
611,116654,10,,,100.00,A,4.00
612,116654,11,,,100.00,A,4.00
613,116655,3,,,95.00,A,4.00
614,116655,4,,,92.00,A,4.00
615,116655,5,,,95.00,A,4.00
616,116655,8,,,98.00,A,4.00
617,116655,10,,,100.00,A,4.00
618,116655,11,,,100.00,A,4.00
619,116656,3,,,92.00,A,4.00
620,116656,4,,,89.00,B,3.00
621,116656,5,,,92.00,A,4.00
622,116656,8,,,95.00,A,4.00
623,116656,10,,,97.00,A,4.00
624,116656,11,,,98.00,A,4.00
625,116657,3,,,100.00,A,4.00
626,116657,4,,,97.00,A,4.00
627,116657,5,,,100.00,A,4.00
628,116657,8,,,100.00,A,4.00
629,116657,10,,,100.00,A,4.00
630,116657,11,,,100.00,A,4.00
631,116658,3,,,94.00,A,4.00
632,116658,4,,,91.00,A,4.00
633,116658,5,,,94.00,A,4.00
634,116658,8,,,97.00,A,4.00
635,116658,10,,,99.00,A,4.00
636,116658,11,,,100.00,A,4.00
637,116659,3,,,86.00,B,3.00
638,116659,4,,,83.00,B,3.00
639,116659,5,,,86.00,B,3.00
640,116659,8,,,89.00,B,3.00
641,116659,10,,,91.00,A,4.00
642,116659,11,,,92.00,A,4.00
643,116660,3,,,87.00,B,3.00
644,116660,4,,,84.00,B,3.00
645,116660,5,,,87.00,B,3.00
646,116660,8,,,90.00,A,4.00
647,116660,10,,,92.00,A,4.00
648,116660,11,,,93.00,A,4.00
649,116661,3,,,89.00,B,3.00
650,116661,4,,,86.00,B,3.00
651,116661,5,,,89.00,B,3.00
652,116661,8,,,92.00,A,4.00
653,116661,10,,,94.00,A,4.00
654,116661,11,,,95.00,A,4.00
655,116662,3,,,89.00,B,3.00
656,116662,4,,,86.00,B,3.00
657,116662,5,,,89.00,B,3.00
658,116662,8,,,92.00,A,4.00
659,116662,10,,,94.00,A,4.00
660,116662,11,,,95.00,A,4.00
661,116663,3,,,99.00,A,4.00
662,116663,4,,,96.00,A,4.00
663,116663,5,,,99.00,A,4.00
664,116663,8,,,100.00,A,4.00
665,116663,10,,,100.00,A,4.00
666,116663,11,,,100.00,A,4.00
667,116664,3,,,96.00,A,4.00
668,116664,4,,,93.00,A,4.00
669,116664,5,,,96.00,A,4.00
670,116664,8,,,99.00,A,4.00
671,116664,10,,,100.00,A,4.00
672,116664,11,,,100.00,A,4.00
673,116665,3,,,91.00,A,4.00
674,116665,4,,,88.00,B,3.00
675,116665,5,,,91.00,A,4.00
676,116665,8,,,94.00,A,4.00
677,116665,10,,,96.00,A,4.00
678,116665,11,,,97.00,A,4.00
679,116666,3,,,90.00,A,4.00
680,116666,4,,,87.00,B,3.00
681,116666,5,,,90.00,A,4.00
682,116666,8,,,93.00,A,4.00
683,116666,10,,,95.00,A,4.00
684,116666,11,,,96.00,A,4.00
685,116667,3,,,100.00,A,4.00
686,116667,4,,,97.00,A,4.00
687,116667,5,,,100.00,A,4.00
688,116667,8,,,100.00,A,4.00
689,116667,10,,,100.00,A,4.00
690,116667,11,,,100.00,A,4.00
691,116668,3,,,0.00,F,0.00
692,116668,4,,,0.00,F,0.00
693,116668,5,,,0.00,F,0.00
694,116668,8,,,3.00,F,0.00
695,116668,10,,,5.00,F,0.00
696,116668,11,,,6.00,F,0.00
697,116669,3,,,87.00,B,3.00
698,116669,4,,,84.00,B,3.00
699,116669,5,,,87.00,B,3.00
700,116669,8,,,90.00,A,4.00
701,116669,10,,,92.00,A,4.00
702,116669,11,,,93.00,A,4.00
703,116670,3,,,100.00,A,4.00
704,116670,4,,,97.00,A,4.00
705,116670,5,,,100.00,A,4.00
706,116670,8,,,100.00,A,4.00
707,116670,10,,,100.00,A,4.00
708,116670,11,,,100.00,A,4.00
709,116671,3,,,66.00,D,1.00
710,116671,4,,,63.00,D,1.00
711,116671,5,,,66.00,D,1.00
712,116671,8,,,69.00,D,1.00
713,116671,10,,,71.00,C,2.00
714,116671,11,,,72.00,C,2.00
715,116672,3,,,37.00,F,0.00
716,116672,4,,,34.00,F,0.00
717,116672,5,,,37.00,F,0.00
718,116672,8,,,40.00,F,0.00
719,116672,10,,,42.00,F,0.00
720,116672,11,,,43.00,F,0.00
721,116673,3,,,83.00,B,3.00
722,116673,4,,,80.00,B,3.00
723,116673,5,,,83.00,B,3.00
724,116673,8,,,86.00,B,3.00
725,116673,10,,,88.00,B,3.00
726,116673,11,,,89.00,B,3.00
727,116674,3,,,59.00,F,0.00
728,116674,4,,,56.00,F,0.00
729,116674,5,,,59.00,F,0.00
