HSGTScoreID,StudentID,SISStudentID,TestDate,SubjectID,RawScore,PossibleRawScore,ScaledScore,PossibleScaledScore,PassFail,TimesTested,LatestTest
2447,2743,2743,'2010-03-01 00:00:00',9,11.00,45.00,530.00,600.00,,1,1
2448,2743,2743,'2010-03-01 00:00:00',10,41.00,65.00,530.00,600.00,,1,1
2449,3242,3242,'2010-03-01 00:00:00',15,53.00,80.00,536.00,600.00,,1,1
2450,3242,3242,'2010-03-01 00:00:00',14,65.00,86.00,538.00,600.00,,1,1
2451,3242,3242,'2010-03-01 00:00:00',9,10.00,45.00,547.00,600.00,,1,1
2452,3242,3242,'2010-03-01 00:00:00',10,52.00,65.00,549.00,600.00,,1,1
2453,3313,3313,'2010-03-01 00:00:00',14,60.00,86.00,515.00,600.00,,1,1
2454,3313,3313,'2010-03-01 00:00:00',10,13.00,65.00,521.00,600.00,,1,1
2455,3313,3313,'2010-03-01 00:00:00',15,54.00,80.00,530.00,600.00,,1,1
2456,3313,3313,'2010-03-01 00:00:00',9,28.00,45.00,543.00,600.00,,1,1
2457,3441,3441,'2010-03-01 00:00:00',14,20.00,86.00,486.00,600.00,,1,0
2458,3441,3441,'2010-07-01 00:00:00',14,18.00,86.00,495.00,600.00,,2,0
2459,3441,3441,'2010-09-01 00:00:00',14,21.00,86.00,496.00,600.00,,3,1
2460,3441,3441,'2010-03-01 00:00:00',15,22.00,80.00,502.00,600.00,,1,1
2461,3441,3441,'2010-03-01 00:00:00',10,10.00,65.00,516.00,600.00,,1,1
2462,3441,3441,'2010-03-01 00:00:00',9,15.00,45.00,520.00,600.00,,1,1
2463,3480,3480,'2010-03-01 00:00:00',14,34.00,86.00,508.00,600.00,,1,1
2464,3480,3480,'2010-03-01 00:00:00',10,21.00,65.00,546.00,600.00,,1,1
2465,3480,3480,'2010-03-01 00:00:00',9,15.00,45.00,547.00,600.00,,1,1
2466,3480,3480,'2010-03-01 00:00:00',15,64.00,80.00,553.00,600.00,,1,1
2467,3514,3514,'2010-03-01 00:00:00',14,43.00,86.00,517.00,600.00,,1,1
2468,3514,3514,'2010-03-01 00:00:00',15,32.00,80.00,520.00,600.00,,1,1
2469,3514,3514,'2010-03-01 00:00:00',10,21.00,65.00,536.00,600.00,,1,1
2470,3514,3514,'2010-03-01 00:00:00',9,20.00,45.00,552.00,600.00,,1,1
2471,3542,3542,'2010-07-01 00:00:00',14,25.00,86.00,477.00,600.00,,2,0
2472,3542,3542,'2010-03-01 00:00:00',14,17.00,86.00,490.00,600.00,,1,0
2473,3542,3542,'2010-09-01 00:00:00',14,29.00,86.00,497.00,600.00,,3,1
2474,3542,3542,'2010-03-01 00:00:00',10,8.00,65.00,510.00,600.00,,1,1
2475,3542,3542,'2010-03-01 00:00:00',15,16.00,80.00,516.00,600.00,,1,1
2476,3542,3542,'2010-03-01 00:00:00',9,9.00,45.00,525.00,600.00,,1,1
2477,2415,2415,'2010-03-01 00:00:00',14,41.00,86.00,513.00,600.00,,1,1
2478,2415,2415,'2010-03-01 00:00:00',15,54.00,80.00,526.00,600.00,,1,1
2479,2415,2415,'2010-03-01 00:00:00',10,33.00,65.00,536.00,600.00,,1,1
2480,2415,2415,'2010-03-01 00:00:00',9,36.00,45.00,558.00,600.00,,1,1
2481,2416,2416,'2010-03-01 00:00:00',14,19.00,86.00,472.00,600.00,,1,0
2482,2416,2416,'2010-07-01 00:00:00',14,25.00,86.00,473.00,600.00,,2,0
2483,2416,2416,'2010-09-01 00:00:00',14,22.00,86.00,473.00,600.00,,3,1
2484,2416,2416,'2010-03-01 00:00:00',10,17.00,65.00,474.00,600.00,,1,0
2485,2416,2416,'2010-07-01 00:00:00',15,31.00,80.00,476.00,600.00,,2,0
2486,2416,2416,'2010-03-01 00:00:00',15,24.00,80.00,486.00,600.00,,1,0
2487,2416,2416,'2010-09-01 00:00:00',10,11.00,65.00,497.00,600.00,,2,1
2488,2416,2416,'2010-09-01 00:00:00',15,11.00,80.00,509.00,600.00,,2,1
2489,2416,2416,'2010-03-01 00:00:00',9,12.00,45.00,516.00,600.00,,1,1
2494,2446,2446,'2010-03-01 00:00:00',15,47.00,80.00,532.00,600.00,,1,1
2495,2446,2446,'2010-03-01 00:00:00',14,67.00,86.00,534.00,600.00,,1,1
2496,2446,2446,'2010-03-01 00:00:00',9,19.00,45.00,547.00,600.00,,1,1
2497,2446,2446,'2010-03-01 00:00:00',10,40.00,65.00,575.00,600.00,,1,1
2498,2447,2447,'2010-03-01 00:00:00',14,57.00,86.00,508.00,600.00,,1,1
2499,2447,2447,'2010-03-01 00:00:00',15,18.00,80.00,512.00,600.00,,1,1
2500,2447,2447,'2010-03-01 00:00:00',10,40.00,65.00,530.00,600.00,,1,1
2501,2447,2447,'2010-03-01 00:00:00',9,11.00,45.00,539.00,600.00,,1,1
2502,2448,2448,'2010-03-01 00:00:00',14,51.00,86.00,512.00,600.00,,1,1
2503,2448,2448,'2010-03-01 00:00:00',15,49.00,80.00,532.00,600.00,,1,1
2504,2448,2448,'2010-03-01 00:00:00',9,33.00,45.00,552.00,600.00,,1,1
2505,2448,2448,'2010-03-01 00:00:00',10,44.00,65.00,554.00,600.00,,1,1
2506,2449,2449,'2010-03-01 00:00:00',15,18.00,80.00,515.00,600.00,,1,1
2507,2449,2449,'2010-03-01 00:00:00',9,4.00,45.00,523.00,600.00,,1,1
2508,2449,2449,'2010-03-01 00:00:00',14,57.00,86.00,525.00,600.00,,1,1
2509,2449,2449,'2010-03-01 00:00:00',10,48.00,65.00,559.00,600.00,,1,1
2510,2450,2450,'2010-03-01 00:00:00',14,44.00,86.00,534.00,600.00,,1,1
2511,2450,2450,'2010-03-01 00:00:00',15,68.00,80.00,543.00,600.00,,1,1
2512,2450,2450,'2010-03-01 00:00:00',9,24.00,45.00,558.00,600.00,,1,1
2513,2450,2450,'2010-03-01 00:00:00',10,49.00,65.00,590.00,600.00,,1,1
2514,2481,2481,'2010-03-01 00:00:00',14,37.00,86.00,515.00,600.00,,1,1
2515,2481,2481,'2010-03-01 00:00:00',15,55.00,80.00,534.00,600.00,,1,1
2516,2481,2481,'2010-03-01 00:00:00',9,9.00,45.00,540.00,600.00,,1,1
2517,2481,2481,'2010-03-01 00:00:00',10,49.00,65.00,575.00,600.00,,1,1
2518,2485,2485,'2010-03-01 00:00:00',15,18.00,80.00,515.00,600.00,,1,1
2519,2485,2485,'2010-03-01 00:00:00',14,41.00,86.00,517.00,600.00,,1,1
2520,2485,2485,'2010-03-01 00:00:00',10,31.00,65.00,530.00,600.00,,1,1
2521,2485,2485,'2010-03-01 00:00:00',9,13.00,45.00,539.00,600.00,,1,1
2522,2515,2515,'2010-03-01 00:00:00',14,27.00,86.00,506.00,600.00,,1,1
2523,2515,2515,'2010-03-01 00:00:00',9,19.00,45.00,528.00,600.00,,1,1
2524,2515,2515,'2010-03-01 00:00:00',15,48.00,80.00,534.00,600.00,,1,1
2525,2515,2515,'2010-03-01 00:00:00',10,24.00,65.00,542.00,600.00,,1,1
2526,2516,2516,'2010-03-01 00:00:00',15,27.00,80.00,475.00,600.00,,1,0
2527,2516,2516,'2010-03-01 00:00:00',14,20.00,86.00,477.00,600.00,,1,0
2528,2516,2516,'2010-07-01 00:00:00',14,15.00,86.00,477.00,600.00,,2,0
2529,2516,2516,'2010-07-01 00:00:00',15,27.00,80.00,482.00,600.00,,2,0
2530,2516,2516,'2010-09-01 00:00:00',14,7.00,86.00,483.00,600.00,,3,1
2531,2516,2516,'2010-09-01 00:00:00',15,24.00,80.00,490.00,600.00,,3,1
2532,2516,2516,'2010-03-01 00:00:00',9,9.00,45.00,500.00,600.00,,1,1
2533,2516,2516,'2010-03-01 00:00:00',10,12.00,65.00,523.00,600.00,,1,1
2534,2517,2517,'2009-03-01 00:00:00',14,36.00,86.00,460.00,600.00,,1,0
2535,2517,2517,'2009-09-01 00:00:00',14,16.00,86.00,462.00,600.00,,3,0
2536,2517,2517,'2010-09-01 00:00:00',14,26.00,86.00,466.00,600.00,,4,0
2537,2517,2517,'2009-09-01 00:00:00',9,12.00,45.00,467.00,600.00,,3,0
2538,2517,2517,'2009-03-01 00:00:00',10,21.00,65.00,468.00,600.00,,1,0
2539,2517,2517,'2009-11-01 00:00:00',14,16.00,86.00,469.00,600.00,,3,0
2540,2517,2517,'2009-03-01 00:00:00',15,26.00,80.00,471.00,600.00,,1,0
2541,2517,2517,'2009-11-01 00:00:00',10,10.00,65.00,471.00,600.00,,3,0
2542,2517,2517,'2010-09-01 00:00:00',10,21.00,65.00,471.00,600.00,,4,0
2543,2517,2517,'2010-07-01 00:00:00',14,14.00,86.00,473.00,600.00,,4,0
2544,2517,2517,'2010-07-01 00:00:00',10,14.00,65.00,477.00,600.00,,4,0
2545,2517,2517,'2009-03-01 00:00:00',9,15.00,45.00,480.00,600.00,,1,0
2546,2517,2517,'2010-03-01 00:00:00',14,25.00,86.00,480.00,600.00,,3,1
2547,2517,2517,'2009-11-01 00:00:00',15,8.00,80.00,481.00,600.00,,3,0
2548,2517,2517,'2010-09-01 00:00:00',15,25.00,80.00,482.00,600.00,,4,0
2549,2517,2517,'2009-09-01 00:00:00',15,14.00,80.00,486.00,600.00,,3,0
2550,2517,2517,'2010-07-01 00:00:00',15,10.00,80.00,490.00,600.00,,4,0
2551,2517,2517,'2010-03-01 00:00:00',10,19.00,65.00,492.00,600.00,,3,0
2552,2517,2517,'2009-09-01 00:00:00',10,26.00,65.00,494.00,600.00,,3,1
2553,2517,2517,'2010-03-01 00:00:00',15,23.00,80.00,498.00,600.00,,3,1
2554,2517,2517,'2009-11-01 00:00:00',9,27.00,45.00,500.00,600.00,,3,1
2555,2546,2546,'2010-03-01 00:00:00',14,63.00,86.00,522.00,600.00,,1,1
2556,2546,2546,'2010-03-01 00:00:00',15,65.00,80.00,534.00,600.00,,1,1
2557,2546,2546,'2010-03-01 00:00:00',9,8.00,45.00,547.00,600.00,,1,1
2558,2546,2546,'2010-03-01 00:00:00',10,42.00,65.00,559.00,600.00,,1,1
2559,2547,2547,'2010-03-01 00:00:00',14,56.00,86.00,513.00,600.00,,1,1
2560,2547,2547,'2010-03-01 00:00:00',9,20.00,45.00,530.00,600.00,,1,1
2561,2547,2547,'2010-03-01 00:00:00',15,60.00,80.00,530.00,600.00,,1,1
2562,2547,2547,'2010-03-01 00:00:00',10,44.00,65.00,542.00,600.00,,1,1
2563,2548,2548,'2010-03-01 00:00:00',14,20.00,86.00,501.00,600.00,,1,1
2564,2548,2548,'2010-03-01 00:00:00',15,16.00,80.00,512.00,600.00,,1,1
2565,2548,2548,'2010-03-01 00:00:00',10,14.00,65.00,516.00,600.00,,1,1
2566,2548,2548,'2010-03-01 00:00:00',9,20.00,45.00,539.00,600.00,,1,1
2567,2549,2549,'2010-03-01 00:00:00',14,24.00,86.00,502.00,600.00,,1,1
2568,2549,2549,'2010-03-01 00:00:00',15,25.00,80.00,515.00,600.00,,1,1
2569,2549,2549,'2010-03-01 00:00:00',9,7.00,45.00,516.00,600.00,,1,1
2570,2549,2549,'2010-03-01 00:00:00',10,37.00,65.00,535.00,600.00,,1,1
2571,2550,2550,'2010-03-01 00:00:00',15,45.00,80.00,532.00,600.00,,1,1
2572,2550,2550,'2010-03-01 00:00:00',14,54.00,86.00,543.00,600.00,,1,1
2573,2550,2550,'2010-03-01 00:00:00',9,37.00,45.00,547.00,600.00,,1,1
2574,2550,2550,'2010-03-01 00:00:00',10,47.00,65.00,590.00,600.00,,1,1
2575,2581,2581,'2010-03-01 00:00:00',14,55.00,86.00,525.00,600.00,,1,1
2576,2581,2581,'2010-03-01 00:00:00',15,35.00,80.00,528.00,600.00,,1,1
2577,2581,2581,'2010-03-01 00:00:00',10,32.00,65.00,536.00,600.00,,1,1
2578,2581,2581,'2010-03-01 00:00:00',9,24.00,45.00,552.00,600.00,,1,1
2579,2585,2585,'2010-03-01 00:00:00',14,62.00,86.00,534.00,600.00,,1,1
2580,2585,2585,'2010-03-01 00:00:00',15,52.00,80.00,536.00,600.00,,1,1
2581,2585,2585,'2010-03-01 00:00:00',10,40.00,65.00,539.00,600.00,,1,1
2582,2585,2585,'2010-03-01 00:00:00',9,41.00,45.00,558.00,600.00,,1,1
2583,2615,2615,'2010-03-01 00:00:00',10,12.00,65.00,510.00,600.00,,1,1
2584,2615,2615,'2010-03-01 00:00:00',14,43.00,86.00,512.00,600.00,,1,1
2585,2615,2615,'2010-03-01 00:00:00',15,18.00,80.00,515.00,600.00,,1,1
2586,2615,2615,'2010-03-01 00:00:00',9,12.00,45.00,540.00,600.00,,1,1
2587,2616,2616,'2010-03-01 00:00:00',15,47.00,80.00,527.00,600.00,,1,1
2588,2616,2616,'2010-03-01 00:00:00',14,69.00,86.00,543.00,600.00,,1,1
2589,2616,2616,'2010-03-01 00:00:00',9,38.00,45.00,558.00,600.00,,1,1
2590,2616,2616,'2010-03-01 00:00:00',10,39.00,65.00,590.00,600.00,,1,1
2591,2617,2617,'2010-03-01 00:00:00',14,71.00,86.00,531.00,600.00,,1,1
2592,2617,2617,'2010-03-01 00:00:00',15,60.00,80.00,540.00,600.00,,1,1
2593,2617,2617,'2010-03-01 00:00:00',10,58.00,65.00,554.00,600.00,,1,1
2594,2617,2617,'2010-03-01 00:00:00',9,38.00,45.00,558.00,600.00,,1,1
2595,2646,2646,'2010-03-01 00:00:00',14,18.00,86.00,501.00,600.00,,1,1
2596,2646,2646,'2010-03-01 00:00:00',10,36.00,65.00,530.00,600.00,,1,1
2597,2646,2646,'2010-03-01 00:00:00',15,50.00,80.00,536.00,600.00,,1,1
2598,2646,2646,'2010-03-01 00:00:00',9,20.00,45.00,540.00,600.00,,1,1
2599,2647,2647,'2010-03-01 00:00:00',14,31.00,86.00,459.00,600.00,,1,0
2600,2647,2647,'2010-09-01 00:00:00',14,26.00,86.00,469.00,600.00,,2,1
2601,2647,2647,'2010-03-01 00:00:00',10,10.00,65.00,479.00,600.00,,1,0
2602,2647,2647,'2010-09-01 00:00:00',15,10.00,80.00,479.00,600.00,,2,0
2603,2647,2647,'2010-03-01 00:00:00',15,29.00,80.00,481.00,600.00,,1,1
2604,2647,2647,'2010-09-01 00:00:00',9,20.00,45.00,481.00,600.00,,2,0
2605,2647,2647,'2010-09-01 00:00:00',10,19.00,65.00,483.00,600.00,,2,1
2606,2647,2647,'2010-03-01 00:00:00',9,18.00,45.00,484.00,600.00,,1,1
2607,2648,2648,'2010-03-01 00:00:00',14,29.00,86.00,515.00,600.00,,1,1
2608,2648,2648,'2010-03-01 00:00:00',15,42.00,80.00,522.00,600.00,,1,1
2609,2648,2648,'2010-03-01 00:00:00',10,39.00,65.00,549.00,600.00,,1,1
2610,2648,2648,'2010-03-01 00:00:00',9,30.00,45.00,574.00,600.00,,1,1
2611,2649,2649,'2010-03-01 00:00:00',14,26.00,86.00,476.00,600.00,,1,0
2612,2649,2649,'2010-09-01 00:00:00',14,23.00,86.00,486.00,600.00,,2,1
2613,2649,2649,'2010-03-01 00:00:00',10,21.00,65.00,490.00,600.00,,1,0
2614,2649,2649,'2010-09-01 00:00:00',15,23.00,80.00,493.00,600.00,,2,0
2615,2649,2649,'2010-03-01 00:00:00',15,15.00,80.00,495.00,600.00,,1,1
2616,2649,2649,'2010-09-01 00:00:00',10,21.00,65.00,521.00,600.00,,2,1
2617,2649,2649,'2010-03-01 00:00:00',9,5.00,45.00,525.00,600.00,,1,1
2618,2650,2650,'2010-03-01 00:00:00',14,30.00,86.00,520.00,600.00,,1,1
2619,2650,2650,'2010-03-01 00:00:00',15,45.00,80.00,523.00,600.00,,1,1
2620,2650,2650,'2010-03-01 00:00:00',10,33.00,65.00,536.00,600.00,,1,1
2621,2650,2650,'2010-03-01 00:00:00',9,28.00,45.00,547.00,600.00,,1,1
2622,2681,2681,'2010-03-01 00:00:00',14,57.00,86.00,510.00,600.00,,1,1
2623,2681,2681,'2010-03-01 00:00:00',15,39.00,80.00,520.00,600.00,,1,1
2624,2681,2681,'2010-03-01 00:00:00',9,12.00,45.00,530.00,600.00,,1,1
2625,2681,2681,'2010-03-01 00:00:00',10,57.00,65.00,549.00,600.00,,1,1
2626,2685,2685,'2010-09-01 00:00:00',14,22.00,86.00,473.00,600.00,,3,0
2627,2685,2685,'2010-03-01 00:00:00',14,27.00,86.00,480.00,600.00,,1,0
2628,2685,2685,'2010-07-01 00:00:00',14,13.00,86.00,485.00,600.00,,2,1
2629,2685,2685,'2010-03-01 00:00:00',15,18.00,80.00,492.00,600.00,,1,0
2630,2685,2685,'2010-07-01 00:00:00',15,8.00,80.00,493.00,600.00,,2,0
2631,2685,2685,'2010-09-01 00:00:00',15,17.00,80.00,498.00,600.00,,3,1
2632,2685,2685,'2010-03-01 00:00:00',9,20.00,45.00,507.00,600.00,,1,1
2633,2685,2685,'2010-03-01 00:00:00',10,13.00,65.00,510.00,600.00,,1,1
2634,2715,2715,'2010-03-01 00:00:00',14,29.00,86.00,495.00,600.00,,1,0
2635,2715,2715,'2010-09-01 00:00:00',14,26.00,86.00,497.00,600.00,,3,0
2636,2715,2715,'2010-07-01 00:00:00',14,18.00,86.00,499.00,600.00,,2,1
2637,2715,2715,'2010-03-01 00:00:00',15,15.00,80.00,511.00,600.00,,1,1
2638,2715,2715,'2010-03-01 00:00:00',10,15.00,65.00,523.00,600.00,,1,1
2639,2715,2715,'2010-03-01 00:00:00',9,18.00,45.00,525.00,600.00,,1,1
2640,2716,2716,'2010-03-01 00:00:00',14,24.00,86.00,495.00,600.00,,1,0
2641,2716,2716,'2010-07-01 00:00:00',14,28.00,86.00,500.00,600.00,,2,1
2642,2716,2716,'2010-03-01 00:00:00',15,30.00,80.00,522.00,600.00,,1,1
2643,2716,2716,'2010-03-01 00:00:00',10,18.00,65.00,524.00,600.00,,1,1
2644,2716,2716,'2010-03-01 00:00:00',9,17.00,45.00,530.00,600.00,,1,1
2645,2717,2717,'2010-03-01 00:00:00',14,7.00,86.00,500.00,600.00,,1,1
2646,2717,2717,'2010-03-01 00:00:00',10,21.00,65.00,515.00,600.00,,1,1
2647,2717,2717,'2010-03-01 00:00:00',15,38.00,80.00,518.00,600.00,,1,1
2648,2717,2717,'2010-03-01 00:00:00',9,13.00,45.00,540.00,600.00,,1,1
2649,2746,2746,'2010-03-01 00:00:00',14,62.00,86.00,528.00,600.00,,1,1
2650,2746,2746,'2010-03-01 00:00:00',15,50.00,80.00,543.00,600.00,,1,1
2651,2746,2746,'2010-03-01 00:00:00',10,48.00,65.00,546.00,600.00,,1,1
2652,2746,2746,'2010-03-01 00:00:00',9,31.00,45.00,574.00,600.00,,1,1
2653,2747,2747,'2010-03-01 00:00:00',14,29.00,86.00,506.00,600.00,,1,1
2654,2747,2747,'2010-03-01 00:00:00',15,40.00,80.00,518.00,600.00,,1,1
2655,2747,2747,'2010-03-01 00:00:00',9,32.00,45.00,543.00,600.00,,1,1
2656,2747,2747,'2010-03-01 00:00:00',10,44.00,65.00,549.00,600.00,,1,1
2657,2748,2748,'2010-03-01 00:00:00',14,34.00,86.00,513.00,600.00,,1,1
2658,2748,2748,'2010-03-01 00:00:00',15,49.00,80.00,530.00,600.00,,1,1
2659,2748,2748,'2010-03-01 00:00:00',10,37.00,65.00,535.00,600.00,,1,1
2660,2748,2748,'2010-03-01 00:00:00',9,22.00,45.00,565.00,600.00,,1,1
2661,2749,2749,'2010-03-01 00:00:00',14,43.00,86.00,510.00,600.00,,1,1
2662,2749,2749,'2010-03-01 00:00:00',15,40.00,80.00,528.00,600.00,,1,1
2663,2749,2749,'2010-03-01 00:00:00',10,36.00,65.00,536.00,600.00,,1,1
2664,2749,2749,'2010-03-01 00:00:00',9,7.00,45.00,540.00,600.00,,1,1
2665,2750,2750,'2009-03-01 00:00:00',14,40.00,86.00,488.00,600.00,,1,0
2666,2750,2750,'2010-03-01 00:00:00',14,20.00,86.00,491.00,600.00,,4,0
2667,2750,2750,'2009-11-01 00:00:00',14,32.00,86.00,495.00,600.00,,3,0
2668,2750,2750,'2009-09-01 00:00:00',14,34.00,86.00,496.00,600.00,,2,1
2669,2750,2750,'2009-03-01 00:00:00',15,33.00,80.00,511.00,600.00,,1,1
2670,2750,2750,'2009-03-01 00:00:00',10,47.00,65.00,522.00,600.00,,1,1
2671,2750,2750,'2009-03-01 00:00:00',9,41.00,45.00,542.00,600.00,,1,1
2672,2781,2781,'2010-03-01 00:00:00',14,15.00,86.00,502.00,600.00,,1,1
2673,2781,2781,'2010-03-01 00:00:00',15,36.00,80.00,520.00,600.00,,1,1
2674,2781,2781,'2010-03-01 00:00:00',10,31.00,65.00,546.00,600.00,,1,1
2675,2781,2781,'2010-03-01 00:00:00',9,23.00,45.00,552.00,600.00,,1,1
2676,2785,2785,'2010-03-01 00:00:00',14,15.00,86.00,500.00,600.00,,1,1
2677,2785,2785,'2010-03-01 00:00:00',15,48.00,80.00,520.00,600.00,,1,1
2678,2785,2785,'2010-03-01 00:00:00',9,21.00,45.00,543.00,600.00,,1,1
2679,2785,2785,'2010-03-01 00:00:00',10,32.00,65.00,546.00,600.00,,1,1
2680,2815,2815,'2010-03-01 00:00:00',14,19.00,86.00,490.00,600.00,,1,0
2681,2815,2815,'2010-09-01 00:00:00',14,18.00,86.00,490.00,600.00,,2,1
2682,2815,2815,'2010-03-01 00:00:00',9,11.00,45.00,513.00,600.00,,1,1
2683,2815,2815,'2010-03-01 00:00:00',15,48.00,80.00,522.00,600.00,,1,1
2684,2815,2815,'2010-03-01 00:00:00',10,15.00,65.00,525.00,600.00,,1,1
2685,2816,2816,'2010-03-01 00:00:00',14,46.00,86.00,513.00,600.00,,1,1
2686,2816,2816,'2010-03-01 00:00:00',10,37.00,65.00,536.00,600.00,,1,1
2687,2816,2816,'2010-03-01 00:00:00',15,65.00,80.00,536.00,600.00,,1,1
2688,2816,2816,'2010-03-01 00:00:00',9,28.00,45.00,558.00,600.00,,1,1
2689,2817,2817,'2010-03-01 00:00:00',14,65.00,86.00,531.00,600.00,,1,1
2690,2817,2817,'2010-03-01 00:00:00',15,48.00,80.00,543.00,600.00,,1,1
2691,2817,2817,'2010-03-01 00:00:00',9,31.00,45.00,558.00,600.00,,1,1
2692,2817,2817,'2010-03-01 00:00:00',10,38.00,65.00,575.00,600.00,,1,1
2693,2846,2846,'2010-03-01 00:00:00',14,49.00,86.00,513.00,600.00,,1,1
2694,2846,2846,'2010-03-01 00:00:00',15,43.00,80.00,519.00,600.00,,1,1
2695,2846,2846,'2010-03-01 00:00:00',10,15.00,65.00,523.00,600.00,,1,1
2696,2846,2846,'2010-03-01 00:00:00',9,16.00,45.00,538.00,600.00,,1,1
2697,2847,2847,'2010-03-01 00:00:00',14,24.00,86.00,490.00,600.00,,1,0
2698,2847,2847,'2010-07-01 00:00:00',14,28.00,86.00,498.00,600.00,,2,0
2699,2847,2847,'2010-09-01 00:00:00',14,38.00,86.00,511.00,600.00,,3,1
2700,2847,2847,'2010-03-01 00:00:00',15,23.00,80.00,515.00,600.00,,1,1
2701,2847,2847,'2010-03-01 00:00:00',10,19.00,65.00,524.00,600.00,,1,1
2702,2847,2847,'2010-03-01 00:00:00',9,26.00,45.00,547.00,600.00,,1,1
2703,2848,2848,'2010-03-01 00:00:00',14,13.00,86.00,493.00,600.00,,1,0
2704,2848,2848,'2010-07-01 00:00:00',14,25.00,86.00,506.00,600.00,,2,1
2705,2848,2848,'2010-03-01 00:00:00',15,25.00,80.00,511.00,600.00,,1,1
2706,2848,2848,'2010-03-01 00:00:00',10,12.00,65.00,519.00,600.00,,1,1
2707,2848,2848,'2010-03-01 00:00:00',9,12.00,45.00,540.00,600.00,,1,1
2708,2850,2850,'2010-03-01 00:00:00',14,18.00,86.00,505.00,600.00,,1,1
