AbsenceID,AbsenceDate,StudentID,SISStudentID,AbsenceCodeID,AbsenceCount,FacilityID,StaffID
32201,'2008-04-20 00:00:00',284,284,1,1,1,13
32202,'2007-12-09 00:00:00',560,560,1,1,3,58
32203,'2008-03-08 00:00:00',856,856,9,1,1,1
32204,'2007-08-30 00:00:00',60,60,21,1,3,58
32205,'2008-02-22 00:00:00',80,80,9,1,1,12
32206,'2008-04-25 00:00:00',288,288,22,1,3,52
32207,'2007-09-23 00:00:00',872,872,9,1,2,41
32208,'2008-02-07 00:00:00',860,860,22,1,3,66
32209,'2010-03-06 00:00:00',2768,368,1,1,2,44
32210,'2008-03-09 00:00:00',112,112,1,1,1,9
32211,'2008-02-15 00:00:00',728,728,9,1,3,64
32212,'2008-03-28 00:00:00',916,916,9,1,1,15
32213,'2009-02-07 00:00:00',1236,36,9,1,1,10
32214,'2009-02-05 00:00:00',2236,1036,1,1,1,10
32215,'2008-08-31 00:00:00',2284,1084,1,1,1,16
32216,'2009-03-08 00:00:00',2012,812,1,1,1,17
32217,'2010-04-07 00:00:00',3348,948,1,1,1,23
32218,'2007-12-09 00:00:00',328,328,9,1,3,69
32219,'2008-08-08 00:00:00',2020,820,1,1,2,42
32220,'2008-10-06 00:00:00',1528,328,9,1,3,54
32221,'2010-03-04 00:00:00',2480,80,14,1,1,21
32222,'2008-02-02 00:00:00',944,944,1,1,1,10
32223,'2008-11-22 00:00:00',1428,228,22,1,3,70
32224,'2009-09-28 00:00:00',2988,588,9,1,3,66
32225,'2009-11-28 00:00:00',3412,1012,1,1,1,21
32226,'2008-02-03 00:00:00',660,660,22,1,3,57
32227,'2010-02-01 00:00:00',3180,780,9,1,1,19
32228,'2009-02-26 00:00:00',1412,212,1,1,1,17
32229,'2009-12-14 00:00:00',2436,36,1,1,1,18
32230,'2010-02-26 00:00:00',3536,1136,1,1,1,18
32231,'2008-01-20 00:00:00',636,636,21,1,2,50
32232,'2007-11-01 00:00:00',1036,1036,9,1,2,50
32233,'2008-01-23 00:00:00',1128,1128,14,1,3,53
32234,'2009-03-20 00:00:00',1736,536,22,1,1,10
32235,'2009-05-07 00:00:00',2028,828,14,1,3,54
32236,'2009-12-13 00:00:00',3468,1068,1,1,2,46
32237,'2008-08-21 00:00:00',1488,288,22,1,3,56
32238,'2009-10-09 00:00:00',2860,460,9,1,2,42
32239,'2008-04-18 00:00:00',572,572,1,1,2,3
32240,'2008-12-07 00:00:00',1260,60,21,1,3,61
32241,'2009-01-04 00:00:00',1648,448,22,1,1,20
32242,'2008-10-04 00:00:00',1820,620,1,1,2,42
32243,'2008-02-14 00:00:00',580,580,9,1,1,12
32244,'2008-11-20 00:00:00',1448,248,1,1,1,20
32245,'2009-10-12 00:00:00',2568,168,1,1,2,44
32246,'2010-01-31 00:00:00',3144,744,22,1,1,21
32247,'2009-09-14 00:00:00',3316,916,1,1,1,24
32248,'2008-01-17 00:00:00',148,148,22,1,1,14
32249,'2007-11-03 00:00:00',508,508,22,1,2,43
32250,'2009-01-24 00:00:00',2336,1136,1,1,1,10
32251,'2009-10-24 00:00:00',2552,152,1,1,2,44
32252,'2010-03-10 00:00:00',3288,888,9,1,3,58
32253,'2010-02-21 00:00:00',3532,1132,1,1,1,9
32254,'2007-12-08 00:00:00',760,760,22,1,3,71
32255,'2009-12-21 00:00:00',2932,532,22,1,1,9
32256,'2009-10-12 00:00:00',3168,768,1,1,2,44
32257,'2008-05-10 00:00:00',456,456,13,1,1,1
32258,'2010-02-28 00:00:00',2960,560,1,1,2,7
32259,'2007-11-28 00:00:00',1028,1028,9,1,3,52
32260,'2008-05-24 00:00:00',908,908,22,1,2,43
32261,'2008-05-08 00:00:00',236,236,22,1,2,50
32262,'2007-11-04 00:00:00',184,184,22,1,1,13
32263,'2008-06-09 00:00:00',416,416,21,1,1,15
32264,'2007-11-18 00:00:00',812,812,1,1,1,9
32265,'2009-02-01 00:00:00',1220,20,9,1,2,42
32266,'2008-09-26 00:00:00',1880,680,1,1,1,15
32267,'2009-12-06 00:00:00',2996,596,1,1,3,62
32268,'2010-02-20 00:00:00',3116,716,1,1,1,24
32269,'2007-10-25 00:00:00',300,300,22,1,3,53
32270,'2008-11-06 00:00:00',2028,828,9,1,3,54
32271,'2007-09-23 00:00:00',1040,1040,10,1,2,50
32272,'2009-03-12 00:00:00',2136,936,9,1,1,10
32273,'2009-12-20 00:00:00',2716,316,1,1,1,24
32274,'2008-11-03 00:00:00',1636,436,22,1,1,10
32275,'2010-02-07 00:00:00',2588,188,21,1,3,71
32276,'2009-05-03 00:00:00',1416,216,22,1,1,20
32277,'2008-12-14 00:00:00',1560,360,22,1,3,67
32278,'2008-09-08 00:00:00',2036,836,1,1,1,10
32279,'2010-01-22 00:00:00',2868,468,1,1,2,46
32280,'2008-02-08 00:00:00',860,860,22,1,3,66
32281,'2010-03-17 00:00:00',2816,416,1,1,1,24
32282,'2010-03-12 00:00:00',2900,500,14,1,3,66
32283,'2008-02-15 00:00:00',380,380,1,1,1,12
32284,'2009-01-18 00:00:00',1984,784,1,1,1,16
32285,'2009-03-01 00:00:00',1736,536,1,1,1,10
32286,'2008-11-14 00:00:00',1848,648,22,1,1,20
32287,'2009-03-13 00:00:00',2260,1060,9,1,3,61
32288,'2009-12-20 00:00:00',3316,916,1,1,1,24
32289,'2007-09-23 00:00:00',856,856,22,1,1,1
32290,'2007-10-07 00:00:00',948,948,1,1,1,14
32291,'2009-02-07 00:00:00',1212,12,1,1,1,17
32292,'2010-01-22 00:00:00',3148,748,1,1,1,23
32293,'2008-11-07 00:00:00',2320,1120,9,1,2,7
32294,'2007-12-08 00:00:00',228,228,9,1,3,64
32295,'2009-03-22 00:00:00',1684,484,1,1,1,16
32296,'2007-11-08 00:00:00',612,612,22,1,1,9
32297,'2009-10-11 00:00:00',3116,716,9,1,1,24
32298,'2008-12-08 00:00:00',1612,412,1,1,1,17
32299,'2009-08-28 00:00:00',2736,336,22,1,1,18
32300,'2008-08-29 00:00:00',1648,448,1,1,1,20
32301,'2009-12-20 00:00:00',3160,760,21,1,2,7
32302,'2007-12-08 00:00:00',1128,1128,9,1,3,53
32303,'2008-12-18 00:00:00',2160,960,9,1,3,62
32304,'2009-02-07 00:00:00',2236,1036,9,1,1,10
32305,'2009-11-28 00:00:00',2488,88,9,1,3,66
32306,'2010-03-13 00:00:00',3412,1012,1,1,1,21
32307,'2008-04-25 00:00:00',72,72,22,1,2,41
32308,'2009-01-16 00:00:00',1648,448,1,1,1,20
32309,'2008-08-17 00:00:00',2016,816,1,1,1,20
32310,'2010-02-21 00:00:00',3032,632,1,1,1,9
32311,'2008-02-14 00:00:00',1036,1036,21,1,2,50
32312,'2008-09-22 00:00:00',1560,360,13,1,3,67
32313,'2008-12-01 00:00:00',2012,812,1,1,1,17
32314,'2010-04-07 00:00:00',2468,68,1,1,2,46
32315,'2008-12-18 00:00:00',1260,60,9,1,3,61
32316,'2009-11-14 00:00:00',3360,960,16,1,2,7
32317,'2009-12-14 00:00:00',3368,968,1,1,2,44
32318,'2009-08-21 00:00:00',3420,1020,1,1,2,44
32319,'2007-08-16 00:00:00',560,560,22,1,3,58
32320,'2009-02-27 00:00:00',1512,312,1,1,1,17
32321,'2007-12-08 00:00:00',128,128,9,1,3,53
32322,'2007-12-15 00:00:00',356,356,21,1,1,1
32323,'2008-10-02 00:00:00',1248,48,1,1,1,20
32324,'2009-12-06 00:00:00',2856,456,1,1,3,65
32325,'2009-12-07 00:00:00',3460,1060,1,1,2,42
32326,'2009-12-06 00:00:00',2636,236,9,1,1,18
32327,'2007-11-16 00:00:00',780,780,1,1,1,12
32328,'2010-02-05 00:00:00',2452,52,1,1,2,46
32329,'2008-05-16 00:00:00',412,412,22,1,1,9
32330,'2009-09-28 00:00:00',3288,888,9,1,3,58
32331,'2010-03-20 00:00:00',3504,1104,21,1,3,57
32332,'2009-01-11 00:00:00',1656,456,13,1,1,1
32333,'2009-05-14 00:00:00',2080,880,1,1,1,15
32334,'2009-10-29 00:00:00',2684,284,1,1,1,22
32335,'2008-02-13 00:00:00',1148,1148,22,1,1,14
32336,'2008-11-22 00:00:00',1536,336,22,1,1,10
32337,'2009-02-12 00:00:00',1760,560,22,1,3,61
32338,'2010-02-08 00:00:00',3248,848,9,1,1,23
32339,'2008-02-14 00:00:00',680,680,9,1,1,12
32340,'2008-08-11 00:00:00',1248,48,22,1,1,20
32341,'2010-03-20 00:00:00',3276,876,9,1,3,72
32342,'2010-01-22 00:00:00',3320,920,9,1,2,46
32343,'2008-08-24 00:00:00',1788,588,22,1,3,54
32344,'2010-03-11 00:00:00',2536,136,1,1,1,18
32345,'2009-10-03 00:00:00',2912,512,22,1,1,19
32346,'2008-01-06 00:00:00',660,660,1,1,3,57
32347,'2010-03-14 00:00:00',2668,268,1,1,2,46
32348,'2008-04-19 00:00:00',312,312,9,1,1,9
32349,'2008-03-31 00:00:00',460,460,21,1,3,59
32350,'2009-01-10 00:00:00',2312,1112,1,1,1,17
32351,'2010-03-12 00:00:00',2600,200,14,1,3,57
32352,'2009-10-05 00:00:00',2632,232,9,1,1,9
32353,'2008-03-16 00:00:00',916,916,22,1,1,15
32354,'2008-01-06 00:00:00',1116,1116,1,1,1,15
32355,'2010-03-07 00:00:00',2680,280,1,1,1,21
32356,'2008-05-01 00:00:00',236,236,22,1,2,50
32357,'2008-05-24 00:00:00',808,808,22,1,2,45
32358,'2008-03-17 00:00:00',1060,1060,13,1,3,58
32359,'2008-10-16 00:00:00',2328,1128,14,1,3,65
32360,'2010-02-01 00:00:00',2580,180,9,1,1,19
32361,'2007-11-21 00:00:00',280,280,1,1,1,12
32362,'2009-04-25 00:00:00',2212,1012,1,1,1,17
32363,'2010-03-06 00:00:00',3256,856,16,1,3,65
32364,'2010-03-18 00:00:00',3504,1104,22,1,3,57
32365,'2009-02-08 00:00:00',1812,612,22,1,1,17
32366,'2009-11-30 00:00:00',2780,380,1,1,1,19
32367,'2010-03-13 00:00:00',2432,32,22,1,1,9
32368,'2009-09-06 00:00:00',2860,460,21,1,2,42
32369,'2009-09-05 00:00:00',2916,516,1,1,1,24
32370,'2008-04-13 00:00:00',280,280,1,1,1,12
32371,'2009-12-20 00:00:00',2448,48,1,1,1,23
32372,'2010-02-25 00:00:00',2932,532,1,1,1,9
32373,'2010-01-08 00:00:00',3220,820,1,1,2,44
32374,'2008-05-22 00:00:00',836,836,22,1,2,50
32375,'2007-10-05 00:00:00',1116,1116,1,1,1,15
32376,'2010-03-25 00:00:00',2904,504,22,1,3,71
32377,'2010-02-14 00:00:00',2628,228,21,1,3,59
32378,'2008-01-23 00:00:00',128,128,14,1,3,53
32379,'2008-04-27 00:00:00',240,240,1,1,2,50
32380,'2008-03-28 00:00:00',248,248,9,1,1,14
32381,'2008-05-22 00:00:00',612,612,1,1,1,9
32382,'2009-03-20 00:00:00',1312,112,1,1,1,17
32383,'2008-11-29 00:00:00',1316,116,9,1,1,22
32384,'2008-08-14 00:00:00',1480,280,1,1,1,15
32385,'2008-08-21 00:00:00',2344,1144,22,1,1,18
32386,'2009-09-18 00:00:00',2832,432,1,1,1,9
32387,'2010-03-07 00:00:00',3216,816,9,1,1,24
32388,'2009-10-11 00:00:00',3408,1008,1,1,1,12
32389,'2009-01-17 00:00:00',1684,484,1,1,1,16
32390,'2008-11-22 00:00:00',2136,936,22,1,1,10
32391,'2007-09-28 00:00:00',560,560,22,1,3,58
32392,'2008-11-16 00:00:00',1736,536,9,1,1,10
32393,'2008-02-01 00:00:00',648,648,1,1,1,14
32394,'2008-01-12 00:00:00',680,680,9,1,1,12
32395,'2010-01-17 00:00:00',3332,932,1,1,1,9
32396,'2009-10-04 00:00:00',3360,960,21,1,2,7
32397,'2007-09-09 00:00:00',980,980,1,1,1,12
32398,'2009-03-08 00:00:00',1616,416,1,1,1,20
32399,'2009-03-15 00:00:00',1712,512,1,1,1,17
32400,'2008-09-21 00:00:00',1812,612,1,1,1,17
32401,'2007-11-01 00:00:00',1120,1120,13,1,3,62
32402,'2009-02-23 00:00:00',1444,244,22,1,1,18
32403,'2009-02-20 00:00:00',1680,480,1,1,1,15
32404,'2009-01-11 00:00:00',1888,688,22,1,3,55
32405,'2009-12-10 00:00:00',2636,236,1,1,1,18
32406,'2009-01-25 00:00:00',1536,336,1,1,1,10
32407,'2008-12-01 00:00:00',2312,1112,1,1,1,17
32408,'2009-02-27 00:00:00',2348,1148,1,1,1,22
32409,'2009-10-01 00:00:00',2480,80,1,1,1,21
32410,'2009-09-21 00:00:00',3060,660,1,1,2,42
32411,'2010-02-04 00:00:00',3488,1088,22,1,3,66
32412,'2009-10-09 00:00:00',3548,1148,1,1,1,23
32413,'2008-09-27 00:00:00',1680,480,1,1,1,15
32414,'2009-10-15 00:00:00',3280,880,9,1,1,21
32415,'2009-11-07 00:00:00',3548,1148,1,1,1,23
32416,'2007-11-08 00:00:00',484,484,22,1,1,13
32417,'2008-08-21 00:00:00',1416,216,1,1,1,20
32418,'2008-08-25 00:00:00',2020,820,9,1,2,42
32419,'2010-03-06 00:00:00',3148,748,1,1,1,23
32420,'2009-01-09 00:00:00',1820,620,1,1,2,42
32421,'2010-02-04 00:00:00',2568,168,1,1,2,44
32422,'2008-05-11 00:00:00',436,436,22,1,2,50
32423,'2008-01-09 00:00:00',848,848,1,1,1,14
32424,'2009-02-21 00:00:00',1516,316,9,1,1,22
32425,'2009-01-23 00:00:00',2028,828,14,1,3,54
32426,'2009-04-10 00:00:00',2312,1112,1,1,1,17
32427,'2008-04-25 00:00:00',172,172,22,1,2,3
32428,'2009-02-06 00:00:00',1316,116,1,1,1,22
32429,'2009-05-10 00:00:00',2180,980,22,1,1,15
32430,'2010-02-25 00:00:00',2560,160,22,1,2,7
32431,'2010-01-30 00:00:00',2992,592,9,1,3,70
32432,'2009-12-11 00:00:00',3436,1036,1,1,1,18
32433,'2007-10-07 00:00:00',360,360,1,1,3,66
32434,'2008-08-25 00:00:00',1920,720,9,1,2,7
32435,'2008-11-02 00:00:00',2160,960,14,1,3,62
32436,'2009-03-14 00:00:00',2284,1084,1,1,1,16
32437,'2008-09-19 00:00:00',1772,572,9,1,2,45
32438,'2010-03-19 00:00:00',2476,76,9,1,3,72
32439,'2009-08-27 00:00:00',3560,1160,9,1,2,7
32440,'2009-12-10 00:00:00',3036,636,1,1,1,18
32441,'2009-03-26 00:00:00',2248,1048,1,1,1,20
32442,'2009-02-26 00:00:00',1912,712,1,1,1,17
32443,'2009-08-21 00:00:00',3020,620,1,1,2,44
32444,'2010-02-13 00:00:00',3236,836,9,1,1,18
32445,'2008-08-18 00:00:00',1628,428,9,1,3,55
32446,'2008-05-01 00:00:00',412,412,22,1,1,9
32447,'2008-04-27 00:00:00',1008,1008,9,1,2,45
32448,'2008-10-09 00:00:00',1572,372,21,1,2,45
32449,'2009-02-28 00:00:00',2316,1116,1,1,1,22
32450,'2008-02-23 00:00:00',280,280,9,1,1,12
32451,'2008-05-17 00:00:00',472,472,22,1,2,41
32452,'2008-11-16 00:00:00',1888,688,22,1,3,55
32453,'2008-05-09 00:00:00',936,936,22,1,2,48
32454,'2009-03-20 00:00:00',1336,136,22,1,1,10
32455,'2007-10-25 00:00:00',248,248,1,1,1,14
32456,'2008-05-04 00:00:00',528,528,21,1,3,52
32457,'2009-03-07 00:00:00',2136,936,1,1,1,10
32458,'2009-09-14 00:00:00',2616,216,1,1,1,24
32459,'2009-12-13 00:00:00',3056,656,13,1,3,65
32460,'2009-04-16 00:00:00',2180,980,1,1,1,15
32461,'2008-10-30 00:00:00',2316,1116,1,1,1,22
32462,'2010-02-20 00:00:00',2612,212,1,1,1,21
32463,'2008-01-30 00:00:00',176,176,22,1,3,55
32464,'2008-01-24 00:00:00',256,256,9,1,1,1
32465,'2008-04-28 00:00:00',348,348,1,1,1,14
32466,'2008-10-11 00:00:00',1452,252,22,1,2,7
32467,'2010-02-18 00:00:00',3236,836,1,1,1,18
32468,'2009-11-08 00:00:00',3248,848,1,1,1,23
32469,'2008-08-10 00:00:00',2156,956,9,1,1,1
32470,'2008-02-06 00:00:00',1160,1160,21,1,3,57
32471,'2009-11-01 00:00:00',2932,532,1,1,1,9
32472,'2009-04-27 00:00:00',1912,712,1,1,1,17
32473,'2009-11-26 00:00:00',2768,368,1,1,2,44
32474,'2009-01-10 00:00:00',1500,300,5,1,3,65
32475,'2009-05-07 00:00:00',1860,660,22,1,3,60
32476,'2008-09-19 00:00:00',1872,672,9,1,2,43
32477,'2010-03-04 00:00:00',2700,300,22,1,3,58
32478,'2009-10-19 00:00:00',2948,548,9,1,1,23
32479,'2010-03-19 00:00:00',3176,776,9,1,3,72
32480,'2010-01-31 00:00:00',3344,944,22,1,1,21
32481,'2007-11-07 00:00:00',884,884,22,1,1,13
32482,'2010-02-04 00:00:00',2736,336,1,1,1,18
32483,'2008-09-20 00:00:00',1812,612,1,1,1,17
32484,'2009-12-04 00:00:00',3056,656,1,1,3,65
32485,'2007-08-29 00:00:00',60,60,9,1,3,58
32486,'2008-05-08 00:00:00',1136,1136,22,1,2,48
32487,'2008-11-30 00:00:00',1244,44,22,1,1,18
32488,'2009-01-25 00:00:00',1836,636,1,1,1,10
32489,'2009-02-13 00:00:00',2012,812,1,1,1,17
32490,'2008-11-09 00:00:00',2328,1128,22,1,3,65
32491,'2009-01-09 00:00:00',1620,420,1,1,2,42
32492,'2008-11-13 00:00:00',1912,712,1,1,1,17
32493,'2009-10-02 00:00:00',2480,80,1,1,1,21
32494,'2008-01-25 00:00:00',220,220,9,1,3,67
32495,'2008-08-18 00:00:00',1228,28,9,1,3,56
32496,'2009-02-06 00:00:00',2116,916,1,1,1,22
32497,'2009-10-16 00:00:00',2780,380,9,1,1,19
32498,'2007-12-12 00:00:00',244,244,1,1,1,10
32499,'2009-03-08 00:00:00',1916,716,1,1,1,22
32500,'2010-01-09 00:00:00',2480,80,1,1,1,21
32501,'2009-12-07 00:00:00',2560,160,1,1,2,7
32502,'2010-01-23 00:00:00',3536,1136,22,1,1,18
32503,'2008-02-23 00:00:00',480,480,9,1,1,12
32504,'2009-05-02 00:00:00',2112,912,9,1,1,17
32505,'2008-02-03 00:00:00',848,848,9,1,1,14
32506,'2008-03-10 00:00:00',336,336,22,1,2,48
32507,'2008-01-23 00:00:00',656,656,9,1,1,1
32508,'2007-11-07 00:00:00',736,736,22,1,2,48
32509,'2007-11-07 00:00:00',684,684,22,1,1,13
32510,'2009-01-18 00:00:00',1684,484,1,1,1,16
32511,'2009-04-20 00:00:00',2208,1008,9,1,2,47
32512,'2009-02-06 00:00:00',2212,1012,9,1,1,17
32513,'2010-01-31 00:00:00',2736,336,1,1,1,18
32514,'2010-03-06 00:00:00',3156,756,16,1,3,65
32515,'2009-03-16 00:00:00',1288,88,22,1,3,54
32516,'2009-01-12 00:00:00',1488,288,22,1,3,56
32517,'2009-05-15 00:00:00',1936,736,1,1,1,10
32518,'2008-09-20 00:00:00',2072,872,9,1,2,43
32519,'2008-03-29 00:00:00',216,216,9,1,1,15
32520,'2008-03-29 00:00:00',980,980,9,1,1,12
32521,'2008-05-04 00:00:00',1028,1028,21,1,3,52
32522,'2009-01-24 00:00:00',2056,856,22,1,1,1
32523,'2010-01-30 00:00:00',3532,1132,9,1,1,9
32524,'2009-08-31 00:00:00',2832,432,1,1,1,9
32525,'2009-09-06 00:00:00',3060,660,21,1,2,42
32526,'2010-02-04 00:00:00',3236,836,1,1,1,18
32527,'2008-02-08 00:00:00',560,560,22,1,3,58
32528,'2007-11-22 00:00:00',1012,1012,9,1,1,9
32529,'2009-03-20 00:00:00',2056,856,9,1,1,1
32530,'2009-12-06 00:00:00',3156,756,1,1,3,65
32531,'2008-02-23 00:00:00',916,916,1,1,1,15
32532,'2007-11-10 00:00:00',1120,1120,13,1,3,62
32533,'2009-02-06 00:00:00',1216,16,1,1,1,20
32534,'2009-03-26 00:00:00',2280,1080,1,1,1,15
32535,'2007-09-09 00:00:00',1096,1096,22,1,3,70
32536,'2008-04-13 00:00:00',1136,1136,1,1,2,48
32537,'2008-12-14 00:00:00',1460,260,22,1,3,72
32538,'2009-02-07 00:00:00',1612,412,1,1,1,17
32539,'2008-11-27 00:00:00',1880,680,1,1,1,15
32540,'2009-10-01 00:00:00',2580,180,1,1,1,19
32541,'2007-08-23 00:00:00',348,348,22,1,1,14
32542,'2007-09-08 00:00:00',848,848,22,1,1,14
32543,'2009-02-22 00:00:00',1276,76,9,1,3,71
32544,'2009-11-30 00:00:00',3384,984,1,1,1,20
32545,'2009-09-20 00:00:00',3460,1060,22,1,2,42
32546,'2007-09-09 00:00:00',396,396,22,1,3,70
32547,'2009-11-29 00:00:00',3416,1016,9,1,1,24
32548,'2008-03-31 00:00:00',244,244,1,1,1,10
32549,'2007-10-06 00:00:00',1012,1012,1,1,1,9
32550,'2008-10-03 00:00:00',1648,448,1,1,1,20
32551,'2010-03-19 00:00:00',2436,36,1,1,1,18
32552,'2009-11-26 00:00:00',2468,68,1,1,2,46
32553,'2009-12-14 00:00:00',2664,264,1,1,2,42
32554,'2009-09-26 00:00:00',3536,1136,22,1,1,18
32555,'2008-01-10 00:00:00',216,216,9,1,1,15
32556,'2007-11-22 00:00:00',984,984,22,1,1,13
32557,'2009-02-22 00:00:00',1976,776,9,1,3,71
32558,'2009-10-30 00:00:00',2612,212,22,1,1,21
32559,'2010-03-12 00:00:00',3236,836,1,1,1,18
32560,'2008-09-18 00:00:00',1972,772,9,1,2,45
32561,'2009-11-26 00:00:00',2936,536,9,1,1,18
32562,'2009-02-06 00:00:00',1228,28,14,1,3,56
32563,'2009-01-19 00:00:00',1908,708,22,1,2,49
32564,'2010-02-04 00:00:00',2404,4,21,1,3,71
32565,'2009-03-30 00:00:00',1636,436,1,1,1,10
32566,'2010-04-07 00:00:00',2688,288,22,1,3,57
32567,'2009-10-02 00:00:00',3412,1012,1,1,1,21
32568,'2010-03-18 00:00:00',2736,336,1,1,1,18
32569,'2010-03-05 00:00:00',3120,720,1,1,2,46
32570,'2007-10-31 00:00:00',136,136,9,1,2,48
32571,'2008-11-13 00:00:00',1648,448,1,1,1,20
32572,'2009-02-06 00:00:00',1828,628,14,1,3,65
32573,'2009-03-15 00:00:00',2284,1084,22,1,1,16
32574,'2010-03-11 00:00:00',3000,600,14,1,3,71
32575,'2009-11-01 00:00:00',3332,932,1,1,1,9
32576,'2008-01-09 00:00:00',448,448,1,1,1,14
32577,'2007-12-12 00:00:00',1036,1036,21,1,2,50
32578,'2009-10-23 00:00:00',3040,640,1,1,1,17
32579,'2009-09-05 00:00:00',3436,1036,9,1,1,18
32580,'2007-08-18 00:00:00',528,528,9,1,3,52
32581,'2008-02-28 00:00:00',580,580,1,1,1,12
32582,'2010-03-06 00:00:00',2436,36,1,1,1,18
32583,'2010-02-21 00:00:00',3472,1072,1,1,2,49
32584,'2009-01-25 00:00:00',1712,512,1,1,1,17
32585,'2008-11-16 00:00:00',1956,756,14,1,1,1
32586,'2008-01-24 00:00:00',820,820,9,1,3,72
32587,'2009-03-16 00:00:00',1356,156,13,1,1,1
32588,'2009-10-29 00:00:00',2416,16,1,1,1,24
32589,'2009-10-04 00:00:00',2584,184,1,1,1,20
32590,'2009-11-26 00:00:00',3360,960,21,1,2,7
32591,'2009-09-14 00:00:00',2648,248,1,1,1,23
32592,'2010-02-20 00:00:00',3512,1112,1,1,1,19
32593,'2009-08-28 00:00:00',2636,236,22,1,1,18
32594,'2009-10-30 00:00:00',2636,236,1,1,1,18
32595,'2008-04-20 00:00:00',12,12,9,1,1,9
32596,'2009-01-11 00:00:00',1488,288,22,1,3,56
32597,'2009-01-11 00:00:00',2288,1088,22,1,3,54
32598,'2010-03-27 00:00:00',2852,452,1,1,2,46
32599,'2008-04-24 00:00:00',128,128,9,1,3,53
32600,'2007-11-15 00:00:00',148,148,1,1,1,14
32601,'2010-02-08 00:00:00',2448,48,9,1,1,23
32602,'2010-03-06 00:00:00',3512,1112,1,1,1,19
32603,'2008-11-02 00:00:00',1436,236,1,1,1,10
32604,'2009-12-07 00:00:00',3060,660,1,1,2,42
32605,'2008-09-20 00:00:00',1272,72,9,1,2,43
32606,'2009-05-21 00:00:00',1900,700,21,1,3,56
32607,'2009-05-02 00:00:00',1312,112,9,1,1,17
32608,'2009-02-27 00:00:00',1748,548,1,1,1,22
32609,'2009-10-10 00:00:00',3460,1060,9,1,2,42
32610,'2009-10-16 00:00:00',3460,1060,1,1,2,42
32611,'2009-10-16 00:00:00',3136,736,9,1,1,18
32612,'2009-12-11 00:00:00',2820,420,1,1,2,44
32613,'2010-02-21 00:00:00',3008,608,1,1,1,12
32614,'2007-09-29 00:00:00',1148,1148,1,1,1,14
32615,'2009-05-01 00:00:00',2312,1112,1,1,1,17
32616,'2010-03-18 00:00:00',3436,1036,1,1,1,18
32617,'2010-01-24 00:00:00',2836,436,1,1,1,18
