DisciplineID,StudentID,SISStudentID,EventFacilityID,DisciplineEventCodeID,EventDate,EventReportingStaffID,DisciplineActionCodeID,ActionDate,ActionStaffID,ResolutionDate
92,191,191,1,76,'2009-03-25 00:00:00',6,4,'2009-04-01 00:00:00',1,
93,191,191,1,69,'2009-04-01 00:00:00',6,9,'2009-04-08 00:00:00',1,
94,191,191,1,80,'2009-04-08 00:00:00',6,18,'2009-04-15 00:00:00',1,
95,201,201,5,67,'2009-04-15 00:00:00',6,32,'2009-04-22 00:00:00',1,
96,201,201,5,52,'2009-04-22 00:00:00',6,35,'2009-04-29 00:00:00',1,
97,201,201,5,9,'2009-04-29 00:00:00',6,2,'2009-05-06 00:00:00',1,
98,201,201,5,76,'2009-05-06 00:00:00',6,4,'2009-05-13 00:00:00',1,
99,201,201,5,69,'2009-05-13 00:00:00',6,9,'2009-05-20 00:00:00',1,
100,201,201,5,80,'2009-05-20 00:00:00',6,18,'2009-05-27 00:00:00',1,
101,201,201,5,67,'2009-05-27 00:00:00',6,32,'2009-06-03 00:00:00',1,
102,201,201,5,52,'2009-08-03 00:00:00',6,35,'2009-08-10 00:00:00',1,
103,201,201,5,9,'2009-08-10 00:00:00',6,2,'2009-08-17 00:00:00',1,
104,211,211,2,76,'2009-08-17 00:00:00',6,4,'2009-08-24 00:00:00',1,
105,211,211,2,69,'2009-08-24 00:00:00',6,9,'2009-08-31 00:00:00',1,
106,211,211,2,80,'2009-08-31 00:00:00',6,18,'2009-09-07 00:00:00',1,
107,211,211,2,67,'2009-09-07 00:00:00',6,32,'2009-09-14 00:00:00',1,
108,211,211,2,52,'2009-09-14 00:00:00',6,35,'2009-09-21 00:00:00',1,
109,211,211,2,9,'2009-09-21 00:00:00',6,2,'2009-09-28 00:00:00',1,
110,211,211,2,76,'2009-09-28 00:00:00',6,4,'2009-10-05 00:00:00',1,
111,211,211,2,69,'2009-10-05 00:00:00',6,9,'2009-10-12 00:00:00',1,
112,221,221,5,80,'2009-10-12 00:00:00',6,18,'2009-10-19 00:00:00',1,
113,221,221,5,67,'2009-10-19 00:00:00',6,32,'2009-10-26 00:00:00',1,
114,221,221,5,52,'2009-10-26 00:00:00',6,35,'2009-11-02 00:00:00',1,
115,231,231,2,9,'2009-11-02 00:00:00',6,2,'2009-11-09 00:00:00',1,
116,231,231,2,76,'2009-11-09 00:00:00',6,4,'2009-11-16 00:00:00',1,
117,241,241,1,69,'2009-11-16 00:00:00',6,9,'2009-11-23 00:00:00',1,
118,241,241,1,80,'2009-11-23 00:00:00',6,18,'2009-11-30 00:00:00',1,
119,241,241,1,67,'2009-11-30 00:00:00',6,32,'2009-12-07 00:00:00',1,
120,241,241,1,52,'2009-12-07 00:00:00',6,35,'2009-12-14 00:00:00',1,
121,241,241,1,9,'2009-12-14 00:00:00',6,2,'2009-12-21 00:00:00',1,
122,241,241,1,76,'2009-12-21 00:00:00',6,4,'2009-12-28 00:00:00',1,
123,251,251,5,69,'2008-09-03 00:00:00',6,9,'2008-09-10 00:00:00',1,
124,251,251,5,80,'2008-09-10 00:00:00',6,18,'2008-09-17 00:00:00',1,
125,251,251,5,67,'2008-09-17 00:00:00',6,32,'2008-09-24 00:00:00',1,
126,251,251,5,52,'2008-09-24 00:00:00',6,35,'2008-10-01 00:00:00',1,
127,251,251,5,9,'2008-10-01 00:00:00',6,2,'2008-10-08 00:00:00',1,
128,251,251,5,76,'2008-10-08 00:00:00',6,4,'2008-10-15 00:00:00',1,
129,251,251,5,69,'2008-10-15 00:00:00',6,9,'2008-10-22 00:00:00',1,
130,251,251,5,80,'2008-10-22 00:00:00',6,18,'2008-10-29 00:00:00',1,
131,261,261,5,67,'2008-10-29 00:00:00',6,32,'2008-11-05 00:00:00',1,
132,261,261,5,52,'2008-11-05 00:00:00',6,35,'2008-11-12 00:00:00',1,
133,261,261,5,9,'2008-11-12 00:00:00',6,2,'2008-11-19 00:00:00',1,
134,271,271,2,76,'2008-11-19 00:00:00',6,4,'2008-11-26 00:00:00',1,
135,271,271,2,69,'2008-11-26 00:00:00',6,9,'2008-12-03 00:00:00',1,
136,271,271,2,80,'2008-12-03 00:00:00',6,18,'2008-12-10 00:00:00',1,
137,271,271,2,67,'2008-12-10 00:00:00',6,32,'2008-12-17 00:00:00',1,
138,271,271,2,52,'2008-12-17 00:00:00',6,35,'2008-12-24 00:00:00',1,
139,281,281,1,9,'2008-12-24 00:00:00',6,2,'2008-12-31 00:00:00',1,
140,281,281,1,76,'2008-12-31 00:00:00',6,4,'2009-01-07 00:00:00',1,
141,281,281,1,69,'2009-01-07 00:00:00',6,9,'2009-01-14 00:00:00',1,
142,281,281,1,80,'2009-01-14 00:00:00',6,18,'2009-01-21 00:00:00',1,
143,281,281,1,67,'2009-01-21 00:00:00',6,32,'2009-01-28 00:00:00',1,
144,281,281,1,52,'2009-01-28 00:00:00',6,35,'2009-02-04 00:00:00',1,
145,281,281,1,9,'2009-02-04 00:00:00',6,2,'2009-02-11 00:00:00',1,
146,291,291,1,76,'2009-02-11 00:00:00',6,4,'2009-02-18 00:00:00',1,
147,291,291,1,69,'2009-02-18 00:00:00',6,9,'2009-02-25 00:00:00',1,
148,291,291,1,80,'2009-02-25 00:00:00',6,18,'2009-03-04 00:00:00',1,
149,291,291,1,67,'2009-03-04 00:00:00',6,32,'2009-03-11 00:00:00',1,
150,291,291,1,52,'2009-03-11 00:00:00',6,35,'2009-03-18 00:00:00',1,
151,291,291,1,9,'2009-03-18 00:00:00',6,2,'2009-03-25 00:00:00',1,
152,291,291,1,76,'2009-03-25 00:00:00',6,4,'2009-04-01 00:00:00',1,
153,291,291,1,69,'2009-04-01 00:00:00',6,9,'2009-04-08 00:00:00',1,
154,291,291,1,80,'2009-04-08 00:00:00',6,18,'2009-04-15 00:00:00',1,
155,301,301,5,67,'2009-04-15 00:00:00',6,32,'2009-04-22 00:00:00',1,
156,301,301,5,52,'2009-04-22 00:00:00',6,35,'2009-04-29 00:00:00',1,
157,301,301,5,9,'2009-04-29 00:00:00',6,2,'2009-05-06 00:00:00',1,
158,301,301,5,76,'2009-05-06 00:00:00',6,4,'2009-05-13 00:00:00',1,
159,301,301,5,69,'2009-05-13 00:00:00',6,9,'2009-05-20 00:00:00',1,
160,301,301,5,80,'2009-05-20 00:00:00',6,18,'2009-05-27 00:00:00',1,
161,301,301,5,67,'2009-05-27 00:00:00',6,32,'2009-06-03 00:00:00',1,
162,301,301,5,52,'2009-08-03 00:00:00',6,35,'2009-08-10 00:00:00',1,
163,311,311,2,9,'2009-08-10 00:00:00',6,2,'2009-08-17 00:00:00',1,
164,311,311,2,76,'2009-08-17 00:00:00',6,4,'2009-08-24 00:00:00',1,
165,311,311,2,69,'2009-08-24 00:00:00',6,9,'2009-08-31 00:00:00',1,
166,321,321,5,80,'2009-08-31 00:00:00',6,18,'2009-09-07 00:00:00',1,
167,321,321,5,67,'2009-09-07 00:00:00',6,32,'2009-09-14 00:00:00',1,
168,331,331,2,52,'2009-09-14 00:00:00',6,35,'2009-09-21 00:00:00',1,
169,331,331,2,9,'2009-09-21 00:00:00',6,2,'2009-09-28 00:00:00',1,
170,331,331,2,76,'2009-09-28 00:00:00',6,4,'2009-10-05 00:00:00',1,
171,331,331,2,69,'2009-10-05 00:00:00',6,9,'2009-10-12 00:00:00',1,
172,331,331,2,80,'2009-10-12 00:00:00',6,18,'2009-10-19 00:00:00',1,
173,331,331,2,67,'2009-10-19 00:00:00',6,32,'2009-10-26 00:00:00',1,
174,341,341,1,52,'2009-10-26 00:00:00',6,35,'2009-11-02 00:00:00',1,
175,341,341,1,9,'2009-11-02 00:00:00',6,2,'2009-11-09 00:00:00',1,
176,341,341,1,76,'2009-11-09 00:00:00',6,4,'2009-11-16 00:00:00',1,
177,341,341,1,69,'2009-11-16 00:00:00',6,9,'2009-11-23 00:00:00',1,
178,341,341,1,80,'2009-11-23 00:00:00',6,18,'2009-11-30 00:00:00',1,
179,341,341,1,67,'2009-11-30 00:00:00',6,32,'2009-12-07 00:00:00',1,
180,341,341,1,52,'2009-12-07 00:00:00',6,35,'2009-12-14 00:00:00',1,
181,341,341,1,9,'2009-12-14 00:00:00',6,2,'2009-12-21 00:00:00',1,
182,351,351,5,76,'2009-12-21 00:00:00',6,4,'2009-12-28 00:00:00',1,
183,351,351,5,69,'2009-12-28 00:00:00',6,9,'2010-01-04 00:00:00',1,
184,351,351,5,80,'2010-01-04 00:00:00',6,18,'2010-01-11 00:00:00',1,
185,361,361,5,67,'2010-01-11 00:00:00',6,32,'2010-01-18 00:00:00',1,
186,371,371,2,52,'2010-01-18 00:00:00',6,35,'2010-01-25 00:00:00',1,
187,381,381,1,9,'2008-09-03 00:00:00',6,2,'2008-09-10 00:00:00',1,
188,381,381,1,76,'2008-09-10 00:00:00',6,4,'2008-09-17 00:00:00',1,
189,381,381,1,69,'2008-09-17 00:00:00',6,9,'2008-09-24 00:00:00',1,
190,381,381,1,80,'2008-09-24 00:00:00',6,18,'2008-10-01 00:00:00',1,
191,381,381,1,67,'2008-10-01 00:00:00',6,32,'2008-10-08 00:00:00',1,
192,391,391,1,52,'2008-10-08 00:00:00',6,35,'2008-10-15 00:00:00',1,
193,391,391,1,9,'2008-10-15 00:00:00',6,2,'2008-10-22 00:00:00',1,
194,391,391,1,76,'2008-10-22 00:00:00',6,4,'2008-10-29 00:00:00',1,
195,391,391,1,69,'2008-10-29 00:00:00',6,9,'2008-11-05 00:00:00',1,
196,391,391,1,80,'2008-11-05 00:00:00',6,18,'2008-11-12 00:00:00',1,
197,391,391,1,67,'2008-11-12 00:00:00',6,32,'2008-11-19 00:00:00',1,
198,391,391,1,52,'2008-11-19 00:00:00',6,35,'2008-11-26 00:00:00',1,
199,391,391,1,9,'2008-11-26 00:00:00',6,2,'2008-12-03 00:00:00',1,
200,391,391,1,76,'2008-12-03 00:00:00',6,4,'2008-12-10 00:00:00',1,
201,401,401,5,69,'2008-12-10 00:00:00',6,9,'2008-12-17 00:00:00',1,
202,401,401,5,80,'2008-12-17 00:00:00',6,18,'2008-12-24 00:00:00',1,
203,411,411,2,67,'2008-12-24 00:00:00',6,32,'2008-12-31 00:00:00',1,
204,411,411,2,52,'2008-12-31 00:00:00',6,35,'2009-01-07 00:00:00',1,
205,411,411,2,9,'2009-01-07 00:00:00',6,2,'2009-01-14 00:00:00',1,
206,411,411,2,76,'2009-01-14 00:00:00',6,4,'2009-01-21 00:00:00',1,
207,411,411,2,69,'2009-01-21 00:00:00',6,9,'2009-01-28 00:00:00',1,
208,411,411,2,80,'2009-01-28 00:00:00',6,18,'2009-02-04 00:00:00',1,
209,421,421,5,67,'2009-02-04 00:00:00',6,32,'2009-02-11 00:00:00',1,
210,421,421,5,52,'2009-02-11 00:00:00',6,35,'2009-02-18 00:00:00',1,
211,421,421,5,9,'2009-02-18 00:00:00',6,2,'2009-02-25 00:00:00',1,
212,421,421,5,76,'2009-02-25 00:00:00',6,4,'2009-03-04 00:00:00',1,
213,421,421,5,69,'2009-03-04 00:00:00',6,9,'2009-03-11 00:00:00',1,
214,421,421,5,80,'2009-03-11 00:00:00',6,18,'2009-03-18 00:00:00',1,
215,421,421,5,67,'2009-03-18 00:00:00',6,32,'2009-03-25 00:00:00',1,
216,421,421,5,52,'2009-03-25 00:00:00',6,35,'2009-04-01 00:00:00',1,
217,431,431,2,9,'2009-04-01 00:00:00',6,2,'2009-04-08 00:00:00',1,
218,431,431,2,76,'2009-04-08 00:00:00',6,4,'2009-04-15 00:00:00',1,
219,431,431,2,69,'2009-04-15 00:00:00',6,9,'2009-04-22 00:00:00',1,
220,441,441,1,80,'2009-04-22 00:00:00',6,18,'2009-04-29 00:00:00',1,
221,441,441,1,67,'2009-04-29 00:00:00',6,32,'2009-05-06 00:00:00',1,
222,451,451,5,52,'2009-05-06 00:00:00',6,35,'2009-05-13 00:00:00',1,
223,451,451,5,9,'2009-05-13 00:00:00',6,2,'2009-05-20 00:00:00',1,
224,451,451,5,76,'2009-05-20 00:00:00',6,4,'2009-05-27 00:00:00',1,
225,451,451,5,69,'2009-05-27 00:00:00',6,9,'2009-06-03 00:00:00',1,
226,451,451,5,80,'2009-08-03 00:00:00',6,18,'2009-08-10 00:00:00',1,
227,451,451,5,67,'2009-08-10 00:00:00',6,32,'2009-08-17 00:00:00',1,
228,461,461,5,52,'2009-08-17 00:00:00',6,35,'2009-08-24 00:00:00',1,
229,461,461,5,9,'2009-08-24 00:00:00',6,2,'2009-08-31 00:00:00',1,
230,461,461,5,76,'2009-08-31 00:00:00',6,4,'2009-09-07 00:00:00',1,
231,461,461,5,69,'2009-09-07 00:00:00',6,9,'2009-09-14 00:00:00',1,
232,461,461,5,80,'2009-09-14 00:00:00',6,18,'2009-09-21 00:00:00',1,
233,461,461,5,67,'2009-09-21 00:00:00',6,32,'2009-09-28 00:00:00',1,
234,461,461,5,52,'2009-09-28 00:00:00',6,35,'2009-10-05 00:00:00',1,
235,461,461,5,9,'2009-10-05 00:00:00',6,2,'2009-10-12 00:00:00',1,
236,471,471,2,76,'2009-10-12 00:00:00',6,4,'2009-10-19 00:00:00',1,
237,471,471,2,69,'2009-10-19 00:00:00',6,9,'2009-10-26 00:00:00',1,
238,471,471,2,80,'2009-10-26 00:00:00',6,18,'2009-11-02 00:00:00',1,
239,481,481,1,67,'2009-11-02 00:00:00',6,32,'2009-11-09 00:00:00',1,
240,491,491,1,52,'2009-11-09 00:00:00',6,35,'2009-11-16 00:00:00',1,
241,491,491,1,9,'2009-11-16 00:00:00',6,2,'2009-11-23 00:00:00',1,
242,491,491,1,76,'2009-11-23 00:00:00',6,4,'2009-11-30 00:00:00',1,
243,491,491,1,69,'2009-11-30 00:00:00',6,9,'2009-12-07 00:00:00',1,
244,491,491,1,80,'2009-12-07 00:00:00',6,18,'2009-12-14 00:00:00',1,
245,501,501,5,67,'2008-09-03 00:00:00',6,32,'2008-09-10 00:00:00',1,
246,501,501,5,52,'2008-09-10 00:00:00',6,35,'2008-09-17 00:00:00',1,
247,501,501,5,9,'2008-09-17 00:00:00',6,2,'2008-09-24 00:00:00',1,
248,501,501,5,76,'2008-09-24 00:00:00',6,4,'2008-10-01 00:00:00',1,
249,501,501,5,69,'2008-10-01 00:00:00',6,9,'2008-10-08 00:00:00',1,
250,501,501,5,80,'2008-10-08 00:00:00',6,18,'2008-10-15 00:00:00',1,
251,501,501,5,67,'2008-10-15 00:00:00',6,32,'2008-10-22 00:00:00',1,
252,511,511,2,52,'2008-10-22 00:00:00',6,35,'2008-10-29 00:00:00',1,
253,511,511,2,9,'2008-10-29 00:00:00',6,2,'2008-11-05 00:00:00',1,
254,521,521,5,76,'2008-11-05 00:00:00',6,4,'2008-11-12 00:00:00',1,
255,521,521,5,69,'2008-11-12 00:00:00',6,9,'2008-11-19 00:00:00',1,
256,521,521,5,80,'2008-11-19 00:00:00',6,18,'2008-11-26 00:00:00',1,
257,521,521,5,67,'2008-11-26 00:00:00',6,32,'2008-12-03 00:00:00',1,
258,521,521,5,52,'2008-12-03 00:00:00',6,35,'2008-12-10 00:00:00',1,
259,521,521,5,9,'2008-12-10 00:00:00',6,2,'2008-12-17 00:00:00',1,
260,531,531,2,76,'2008-12-17 00:00:00',6,4,'2008-12-24 00:00:00',1,
261,531,531,2,69,'2008-12-24 00:00:00',6,9,'2008-12-31 00:00:00',1,
262,531,531,2,80,'2008-12-31 00:00:00',6,18,'2009-01-07 00:00:00',1,
263,531,531,2,67,'2009-01-07 00:00:00',6,32,'2009-01-14 00:00:00',1,
264,531,531,2,52,'2009-01-14 00:00:00',6,35,'2009-01-21 00:00:00',1,
265,531,531,2,9,'2009-01-21 00:00:00',6,2,'2009-01-28 00:00:00',1,
266,531,531,2,76,'2009-01-28 00:00:00',6,4,'2009-02-04 00:00:00',1,
267,531,531,2,69,'2009-02-04 00:00:00',6,9,'2009-02-11 00:00:00',1,
268,541,541,1,80,'2009-02-11 00:00:00',6,18,'2009-02-18 00:00:00',1,
269,541,541,1,67,'2009-02-18 00:00:00',6,32,'2009-02-25 00:00:00',1,
270,551,551,5,52,'2009-02-25 00:00:00',6,35,'2009-03-04 00:00:00',1,
271,551,551,5,9,'2009-03-04 00:00:00',6,2,'2009-03-11 00:00:00',1,
272,561,561,5,76,'2009-03-11 00:00:00',6,4,'2009-03-18 00:00:00',1,
273,561,561,5,69,'2009-03-18 00:00:00',6,9,'2009-03-25 00:00:00',1,
274,561,561,5,80,'2009-03-25 00:00:00',6,18,'2009-04-01 00:00:00',1,
275,561,561,5,67,'2009-04-01 00:00:00',6,32,'2009-04-08 00:00:00',1,
276,561,561,5,52,'2009-04-08 00:00:00',6,35,'2009-04-15 00:00:00',1,
277,571,571,2,9,'2009-04-15 00:00:00',6,2,'2009-04-22 00:00:00',1,
278,571,571,2,76,'2009-04-22 00:00:00',6,4,'2009-04-29 00:00:00',1,
279,571,571,2,69,'2009-04-29 00:00:00',6,9,'2009-05-06 00:00:00',1,
280,571,571,2,80,'2009-05-06 00:00:00',6,18,'2009-05-13 00:00:00',1,
281,571,571,2,67,'2009-05-13 00:00:00',6,32,'2009-05-20 00:00:00',1,
282,571,571,2,52,'2009-05-20 00:00:00',6,35,'2009-05-27 00:00:00',1,
283,571,571,2,9,'2009-05-27 00:00:00',6,2,'2009-06-03 00:00:00',1,
284,571,571,2,76,'2009-08-03 00:00:00',6,4,'2009-08-10 00:00:00',1,
285,581,581,1,69,'2009-08-10 00:00:00',6,9,'2009-08-17 00:00:00',1,
286,581,581,1,80,'2009-08-17 00:00:00',6,18,'2009-08-24 00:00:00',1,
287,581,581,1,67,'2009-08-24 00:00:00',6,32,'2009-08-31 00:00:00',1,
288,591,591,1,52,'2009-08-31 00:00:00',6,35,'2009-09-07 00:00:00',1,
289,601,601,5,9,'2009-09-07 00:00:00',6,2,'2009-09-14 00:00:00',1,
290,601,601,5,76,'2009-09-14 00:00:00',6,4,'2009-09-21 00:00:00',1,
291,601,601,5,69,'2009-09-21 00:00:00',6,9,'2009-09-28 00:00:00',1,
292,601,601,5,80,'2009-09-28 00:00:00',6,18,'2009-10-05 00:00:00',1,
293,601,601,5,67,'2009-10-05 00:00:00',6,32,'2009-10-12 00:00:00',1,
294,611,611,2,52,'2009-10-12 00:00:00',6,35,'2009-10-19 00:00:00',1,
295,611,611,2,9,'2009-10-19 00:00:00',6,2,'2009-10-26 00:00:00',1,
296,611,611,2,76,'2009-10-26 00:00:00',6,4,'2009-11-02 00:00:00',1,
297,611,611,2,69,'2009-11-02 00:00:00',6,9,'2009-11-09 00:00:00',1,
298,611,611,2,80,'2009-11-09 00:00:00',6,18,'2009-11-16 00:00:00',1,
299,611,611,2,67,'2009-11-16 00:00:00',6,32,'2009-11-23 00:00:00',1,
300,611,611,2,52,'2009-11-23 00:00:00',6,35,'2009-11-30 00:00:00',1,
301,621,621,5,9,'2009-11-30 00:00:00',6,2,'2009-12-07 00:00:00',1,
302,621,621,5,76,'2009-12-07 00:00:00',6,4,'2009-12-14 00:00:00',1,
303,621,621,5,69,'2009-12-14 00:00:00',6,9,'2009-12-21 00:00:00',1,
304,621,621,5,80,'2009-12-21 00:00:00',6,18,'2009-12-28 00:00:00',1,
305,621,621,5,67,'2009-12-28 00:00:00',6,32,'2010-01-04 00:00:00',1,
306,621,621,5,52,'2010-01-04 00:00:00',6,35,'2010-01-11 00:00:00',1,
307,621,621,5,9,'2010-01-11 00:00:00',6,2,'2010-01-18 00:00:00',1,
