SpecialProgramID,ProgramID,StudentID,SISStudentID,EntryDate
52,1,1502,302,'2008-09-15 00:00:00'
53,1,1602,402,'2008-09-15 00:00:00'
54,1,1702,502,'2008-09-15 00:00:00'
55,1,1802,602,'2008-09-15 00:00:00'
56,1,1902,702,'2008-09-15 00:00:00'
57,1,2002,802,'2008-09-15 00:00:00'
58,1,2102,902,'2008-09-15 00:00:00'
59,1,2202,1002,'2008-09-15 00:00:00'
60,1,2302,1102,'2008-09-15 00:00:00'
61,1,2402,2,'2008-09-15 00:00:00'
62,1,2502,102,'2008-09-15 00:00:00'
63,1,2602,202,'2008-09-15 00:00:00'
64,1,2702,302,'2008-09-15 00:00:00'
65,1,2802,402,'2008-09-15 00:00:00'
66,1,2902,502,'2008-09-15 00:00:00'
67,1,3002,602,'2008-09-15 00:00:00'
68,1,3102,702,'2008-09-15 00:00:00'
69,1,3202,802,'2008-09-15 00:00:00'
70,1,3302,902,'2008-09-15 00:00:00'
71,1,3402,1002,'2008-09-15 00:00:00'
72,1,3502,1102,'2008-09-15 00:00:00'
73,2,60,60,'2010-09-20 00:00:00'
74,2,160,160,'2010-09-20 00:00:00'
75,2,260,260,'2010-09-20 00:00:00'
76,2,360,360,'2010-09-20 00:00:00'
77,2,460,460,'2010-09-20 00:00:00'
78,2,560,560,'2010-09-20 00:00:00'
79,2,660,660,'2010-09-20 00:00:00'
80,2,760,760,'2010-09-20 00:00:00'
81,2,860,860,'2010-09-20 00:00:00'
82,2,960,960,'2010-09-20 00:00:00'
83,2,1060,1060,'2010-09-20 00:00:00'
84,2,1160,1160,'2010-09-20 00:00:00'
85,2,1260,60,'2010-09-20 00:00:00'
86,2,1360,160,'2010-09-20 00:00:00'
87,2,1460,260,'2010-09-20 00:00:00'
88,2,1560,360,'2010-09-20 00:00:00'
89,2,1660,460,'2010-09-20 00:00:00'
90,2,1760,560,'2010-09-20 00:00:00'
91,2,1860,660,'2010-09-20 00:00:00'
92,2,1960,760,'2010-09-20 00:00:00'
93,2,2060,860,'2010-09-20 00:00:00'
94,2,2160,960,'2010-09-20 00:00:00'
95,2,2260,1060,'2010-09-20 00:00:00'
96,2,2360,1160,'2010-09-20 00:00:00'
97,2,2460,60,'2010-09-20 00:00:00'
98,2,2560,160,'2010-09-20 00:00:00'
99,2,2660,260,'2010-09-20 00:00:00'
100,2,2760,360,'2010-09-20 00:00:00'
101,2,2860,460,'2010-09-20 00:00:00'
102,2,2960,560,'2010-09-20 00:00:00'
103,2,3060,660,'2010-09-20 00:00:00'
104,2,3160,760,'2010-09-20 00:00:00'
105,2,3260,860,'2010-09-20 00:00:00'
106,2,3360,960,'2010-09-20 00:00:00'
107,2,3460,1060,'2010-09-20 00:00:00'
108,2,3560,1160,'2010-09-20 00:00:00'
109,3,69,69,'2009-08-24 00:00:00'
110,3,169,169,'2009-08-24 00:00:00'
111,3,269,269,'2009-08-24 00:00:00'
112,3,369,369,'2009-08-24 00:00:00'
113,3,469,469,'2009-08-24 00:00:00'
114,3,569,569,'2009-08-24 00:00:00'
115,3,669,669,'2009-08-24 00:00:00'
116,3,769,769,'2009-08-24 00:00:00'
117,3,869,869,'2009-08-24 00:00:00'
118,3,969,969,'2009-08-24 00:00:00'
119,3,1069,1069,'2009-08-24 00:00:00'
120,3,1269,69,'2009-08-24 00:00:00'
121,3,1369,169,'2009-08-24 00:00:00'
122,3,1469,269,'2009-08-24 00:00:00'
123,3,1569,369,'2009-08-24 00:00:00'
124,3,1669,469,'2009-08-24 00:00:00'
125,3,1769,569,'2009-08-24 00:00:00'
126,3,1869,669,'2009-08-24 00:00:00'
127,3,1969,769,'2009-08-24 00:00:00'
128,3,2069,869,'2009-08-24 00:00:00'
129,3,2169,969,'2009-08-24 00:00:00'
130,3,2269,1069,'2009-08-24 00:00:00'
131,3,2469,69,'2009-08-24 00:00:00'
132,3,2569,169,'2009-08-24 00:00:00'
133,3,2669,269,'2009-08-24 00:00:00'
134,3,2769,369,'2009-08-24 00:00:00'
135,3,2869,469,'2009-08-24 00:00:00'
136,3,2969,569,'2009-08-24 00:00:00'
137,3,3069,669,'2009-08-24 00:00:00'
138,3,3169,769,'2009-08-24 00:00:00'
139,3,3269,869,'2009-08-24 00:00:00'
140,3,3369,969,'2009-08-24 00:00:00'
141,3,3469,1069,'2009-08-24 00:00:00'
142,1,90,90,'2009-01-10 00:00:00'
144,1,290,290,'2009-01-10 00:00:00'
145,1,390,390,'2009-01-10 00:00:00'
146,1,490,490,'2009-01-10 00:00:00'
147,1,590,590,'2009-01-10 00:00:00'
148,1,690,690,'2009-01-10 00:00:00'
149,1,790,790,'2009-01-10 00:00:00'
150,1,890,890,'2009-01-10 00:00:00'
151,1,990,990,'2009-01-10 00:00:00'
152,1,1090,1090,'2009-01-10 00:00:00'
153,1,1290,90,'2009-01-10 00:00:00'
155,1,1490,290,'2009-01-10 00:00:00'
156,1,1590,390,'2009-01-10 00:00:00'
157,1,1690,490,'2009-01-10 00:00:00'
158,1,1790,590,'2009-01-10 00:00:00'
159,1,1890,690,'2009-01-10 00:00:00'
160,1,1990,790,'2009-01-10 00:00:00'
161,1,2090,890,'2009-01-10 00:00:00'
162,1,2190,990,'2009-01-10 00:00:00'
163,1,2290,1090,'2009-01-10 00:00:00'
164,1,2490,90,'2009-01-10 00:00:00'
165,1,2590,190,'2009-01-10 00:00:00'
166,1,2690,290,'2009-01-10 00:00:00'
167,1,2790,390,'2009-01-10 00:00:00'
168,1,2890,490,'2009-01-10 00:00:00'
169,1,2990,590,'2009-01-10 00:00:00'
170,1,3090,690,'2009-01-10 00:00:00'
171,1,3190,790,'2009-01-10 00:00:00'
172,1,3290,890,'2009-01-10 00:00:00'
173,1,3390,990,'2009-01-10 00:00:00'
174,1,3490,1090,'2009-01-10 00:00:00'
175,1,25,25,'2010-02-22 00:00:00'
176,1,125,125,'2010-02-22 00:00:00'
177,1,225,225,'2010-02-22 00:00:00'
178,1,325,325,'2010-02-22 00:00:00'
179,1,425,425,'2010-02-22 00:00:00'
180,1,525,525,'2010-02-22 00:00:00'
181,1,625,625,'2010-02-22 00:00:00'
182,1,725,725,'2010-02-22 00:00:00'
183,1,825,825,'2010-02-22 00:00:00'
184,1,925,925,'2010-02-22 00:00:00'
185,1,1025,1025,'2010-02-22 00:00:00'
186,1,1125,1125,'2010-02-22 00:00:00'
187,1,1225,25,'2010-02-22 00:00:00'
188,1,1325,125,'2010-02-22 00:00:00'
189,1,1425,225,'2010-02-22 00:00:00'
190,1,1525,325,'2010-02-22 00:00:00'
191,1,1625,425,'2010-02-22 00:00:00'
192,1,1725,525,'2010-02-22 00:00:00'
193,1,1825,625,'2010-02-22 00:00:00'
194,1,1925,725,'2010-02-22 00:00:00'
195,1,2025,825,'2010-02-22 00:00:00'
196,1,2125,925,'2010-02-22 00:00:00'
197,1,2225,1025,'2010-02-22 00:00:00'
198,1,2325,1125,'2010-02-22 00:00:00'
199,1,2425,25,'2010-02-22 00:00:00'
200,1,2525,125,'2010-02-22 00:00:00'
201,1,2625,225,'2010-02-22 00:00:00'
202,1,2725,325,'2010-02-22 00:00:00'
203,1,2825,425,'2010-02-22 00:00:00'
204,1,2925,525,'2010-02-22 00:00:00'
205,1,3025,625,'2010-02-22 00:00:00'
206,1,3125,725,'2010-02-22 00:00:00'
207,1,3225,825,'2010-02-22 00:00:00'
208,1,3325,925,'2010-02-22 00:00:00'
209,1,3425,1025,'2010-02-22 00:00:00'
210,1,3525,1125,'2010-02-22 00:00:00'
211,1,86,86,'2009-03-17 00:00:00'
212,1,186,186,'2009-03-17 00:00:00'
213,1,286,286,'2009-03-17 00:00:00'
214,1,386,386,'2009-03-17 00:00:00'
215,1,486,486,'2009-03-17 00:00:00'
216,1,586,586,'2009-03-17 00:00:00'
217,1,686,686,'2009-03-17 00:00:00'
218,1,786,786,'2009-03-17 00:00:00'
219,1,886,886,'2009-03-17 00:00:00'
220,1,986,986,'2009-03-17 00:00:00'
221,1,1086,1086,'2009-03-17 00:00:00'
222,1,1286,86,'2009-03-17 00:00:00'
223,1,1386,186,'2009-03-17 00:00:00'
224,1,1486,286,'2009-03-17 00:00:00'
225,1,1586,386,'2009-03-17 00:00:00'
226,1,1686,486,'2009-03-17 00:00:00'
227,1,1786,586,'2009-03-17 00:00:00'
228,1,1886,686,'2009-03-17 00:00:00'
229,1,1986,786,'2009-03-17 00:00:00'
230,1,2086,886,'2009-03-17 00:00:00'
231,1,2186,986,'2009-03-17 00:00:00'
232,1,2286,1086,'2009-03-17 00:00:00'
233,1,2486,86,'2009-03-17 00:00:00'
234,1,2586,186,'2009-03-17 00:00:00'
235,1,2686,286,'2009-03-17 00:00:00'
236,1,2786,386,'2009-03-17 00:00:00'
237,1,2886,486,'2009-03-17 00:00:00'
238,1,2986,586,'2009-03-17 00:00:00'
239,1,3086,686,'2009-03-17 00:00:00'
240,1,3186,786,'2009-03-17 00:00:00'
241,1,3286,886,'2009-03-17 00:00:00'
242,1,3386,986,'2009-03-17 00:00:00'
243,1,3486,1086,'2009-03-17 00:00:00'
244,4,96,96,'2008-08-31 00:00:00'
245,4,196,196,'2008-08-31 00:00:00'
246,4,296,296,'2008-08-31 00:00:00'
247,4,396,396,'2008-08-31 00:00:00'
248,4,496,496,'2008-08-31 00:00:00'
249,4,596,596,'2008-08-31 00:00:00'
250,4,696,696,'2008-08-31 00:00:00'
251,4,796,796,'2008-08-31 00:00:00'
252,4,896,896,'2008-08-31 00:00:00'
253,4,996,996,'2008-08-31 00:00:00'
254,4,1096,1096,'2008-08-31 00:00:00'
255,4,1296,96,'2008-08-31 00:00:00'
256,4,1396,196,'2008-08-31 00:00:00'
257,4,1496,296,'2008-08-31 00:00:00'
258,4,1596,396,'2008-08-31 00:00:00'
259,4,1696,496,'2008-08-31 00:00:00'
260,4,1796,596,'2008-08-31 00:00:00'
261,4,1896,696,'2008-08-31 00:00:00'
262,4,1996,796,'2008-08-31 00:00:00'
263,4,2096,896,'2008-08-31 00:00:00'
264,4,2196,996,'2008-08-31 00:00:00'
265,4,2296,1096,'2008-08-31 00:00:00'
266,4,2496,96,'2008-08-31 00:00:00'
267,4,2596,196,'2008-08-31 00:00:00'
268,4,2696,296,'2008-08-31 00:00:00'
269,4,2796,396,'2008-08-31 00:00:00'
270,4,2896,496,'2008-08-31 00:00:00'
271,4,2996,596,'2008-08-31 00:00:00'
272,4,3096,696,'2008-08-31 00:00:00'
273,4,3196,796,'2008-08-31 00:00:00'
274,4,3296,896,'2008-08-31 00:00:00'
275,4,3396,996,'2008-08-31 00:00:00'
276,4,3496,1096,'2008-08-31 00:00:00'
277,1,6,6,'2008-11-08 00:00:00'
278,1,106,106,'2008-11-08 00:00:00'
279,1,206,206,'2008-11-08 00:00:00'
280,1,306,306,'2008-11-08 00:00:00'
281,1,406,406,'2008-11-08 00:00:00'
282,1,506,506,'2008-11-08 00:00:00'
283,1,606,606,'2008-11-08 00:00:00'
284,1,706,706,'2008-11-08 00:00:00'
285,1,806,806,'2008-11-08 00:00:00'
286,1,906,906,'2008-11-08 00:00:00'
287,1,1006,1006,'2008-11-08 00:00:00'
289,1,1206,6,'2008-11-08 00:00:00'
290,1,1306,106,'2008-11-08 00:00:00'
291,1,1406,206,'2008-11-08 00:00:00'
292,1,1506,306,'2008-11-08 00:00:00'
293,1,1606,406,'2008-11-08 00:00:00'
294,1,1706,506,'2008-11-08 00:00:00'
295,1,1806,606,'2008-11-08 00:00:00'
296,1,1906,706,'2008-11-08 00:00:00'
297,1,2006,806,'2008-11-08 00:00:00'
298,1,2106,906,'2008-11-08 00:00:00'
299,1,2206,1006,'2008-11-08 00:00:00'
300,1,2306,1106,'2008-11-08 00:00:00'
301,1,2406,6,'2008-11-08 00:00:00'
302,1,2506,106,'2008-11-08 00:00:00'
303,1,2606,206,'2008-11-08 00:00:00'
304,1,2706,306,'2008-11-08 00:00:00'
305,1,2806,406,'2008-11-08 00:00:00'
306,1,2906,506,'2008-11-08 00:00:00'
307,1,3006,606,'2008-11-08 00:00:00'
308,1,3106,706,'2008-11-08 00:00:00'
309,1,3206,806,'2008-11-08 00:00:00'
310,1,3306,906,'2008-11-08 00:00:00'
311,1,3406,1006,'2008-11-08 00:00:00'
312,1,3506,1106,'2008-11-08 00:00:00'
313,1,93,93,'2009-11-09 00:00:00'
314,1,193,193,'2009-11-09 00:00:00'
315,1,293,293,'2009-11-09 00:00:00'
316,1,393,393,'2009-11-09 00:00:00'
317,1,493,493,'2009-11-09 00:00:00'
318,1,593,593,'2009-11-09 00:00:00'
319,1,693,693,'2009-11-09 00:00:00'
320,1,793,793,'2009-11-09 00:00:00'
321,1,893,893,'2009-11-09 00:00:00'
322,1,993,993,'2009-11-09 00:00:00'
323,1,1093,1093,'2009-11-09 00:00:00'
324,1,1293,93,'2009-11-09 00:00:00'
325,1,1393,193,'2009-11-09 00:00:00'
326,1,1493,293,'2009-11-09 00:00:00'
327,1,1593,393,'2009-11-09 00:00:00'
328,1,1693,493,'2009-11-09 00:00:00'
329,1,1793,593,'2009-11-09 00:00:00'
330,1,1893,693,'2009-11-09 00:00:00'
331,1,1993,793,'2009-11-09 00:00:00'
332,1,2093,893,'2009-11-09 00:00:00'
333,1,2193,993,'2009-11-09 00:00:00'
334,1,2293,1093,'2009-11-09 00:00:00'
335,1,2493,93,'2009-11-09 00:00:00'
336,1,2593,193,'2009-11-09 00:00:00'
337,1,2693,293,'2009-11-09 00:00:00'
338,1,2793,393,'2009-11-09 00:00:00'
339,1,2893,493,'2009-11-09 00:00:00'
340,1,2993,593,'2009-11-09 00:00:00'
341,1,3093,693,'2009-11-09 00:00:00'
342,1,3193,793,'2009-11-09 00:00:00'
343,1,3293,893,'2009-11-09 00:00:00'
344,1,3393,993,'2009-11-09 00:00:00'
345,1,3493,1093,'2009-11-09 00:00:00'
346,1,33,33,'2010-02-02 00:00:00'
347,1,133,133,'2010-02-02 00:00:00'
348,1,233,233,'2010-02-02 00:00:00'
349,1,333,333,'2010-02-02 00:00:00'
350,1,433,433,'2010-02-02 00:00:00'
351,1,533,533,'2010-02-02 00:00:00'
352,1,633,633,'2010-02-02 00:00:00'
353,1,733,733,'2010-02-02 00:00:00'
354,1,833,833,'2010-02-02 00:00:00'
355,1,933,933,'2010-02-02 00:00:00'
356,1,1033,1033,'2010-02-02 00:00:00'
357,1,1133,1133,'2010-02-02 00:00:00'
358,1,1233,33,'2010-02-02 00:00:00'
359,1,1333,133,'2010-02-02 00:00:00'
360,1,1433,233,'2010-02-02 00:00:00'
361,1,1533,333,'2010-02-02 00:00:00'
362,1,1633,433,'2010-02-02 00:00:00'
363,1,1733,533,'2010-02-02 00:00:00'
364,1,1833,633,'2010-02-02 00:00:00'
365,1,1933,733,'2010-02-02 00:00:00'
366,1,2033,833,'2010-02-02 00:00:00'
367,1,2133,933,'2010-02-02 00:00:00'
368,1,2233,1033,'2010-02-02 00:00:00'
369,1,2333,1133,'2010-02-02 00:00:00'
370,1,2433,33,'2010-02-02 00:00:00'
371,1,2533,133,'2010-02-02 00:00:00'
372,1,2633,233,'2010-02-02 00:00:00'
373,1,2733,333,'2010-02-02 00:00:00'
374,1,2833,433,'2010-02-02 00:00:00'
375,1,2933,533,'2010-02-02 00:00:00'
376,1,3033,633,'2010-02-02 00:00:00'
377,1,3133,733,'2010-02-02 00:00:00'
378,1,3233,833,'2010-02-02 00:00:00'
379,1,3333,933,'2010-02-02 00:00:00'
380,1,3433,1033,'2010-02-02 00:00:00'
381,1,3533,1133,'2010-02-02 00:00:00'
382,1,75,75,'2010-08-29 00:00:00'
383,1,175,175,'2010-08-29 00:00:00'
384,1,275,275,'2010-08-29 00:00:00'
385,1,375,375,'2010-08-29 00:00:00'
386,1,475,475,'2010-08-29 00:00:00'
387,1,575,575,'2010-08-29 00:00:00'
388,1,675,675,'2010-08-29 00:00:00'
389,1,775,775,'2010-08-29 00:00:00'
390,1,875,875,'2010-08-29 00:00:00'
391,1,975,975,'2010-08-29 00:00:00'
392,1,1075,1075,'2010-08-29 00:00:00'
393,1,1275,75,'2010-08-29 00:00:00'
394,1,1375,175,'2010-08-29 00:00:00'
395,1,1475,275,'2010-08-29 00:00:00'
396,1,1575,375,'2010-08-29 00:00:00'
397,1,1675,475,'2010-08-29 00:00:00'
398,1,1775,575,'2010-08-29 00:00:00'
399,1,1875,675,'2010-08-29 00:00:00'
400,1,1975,775,'2010-08-29 00:00:00'
401,1,2075,875,'2010-08-29 00:00:00'
402,1,2175,975,'2010-08-29 00:00:00'
403,1,2275,1075,'2010-08-29 00:00:00'
404,1,2475,75,'2010-08-29 00:00:00'
405,1,2575,175,'2010-08-29 00:00:00'
406,1,2675,275,'2010-08-29 00:00:00'
407,1,2775,375,'2010-08-29 00:00:00'
408,1,2875,475,'2010-08-29 00:00:00'
409,1,2975,575,'2010-08-29 00:00:00'
410,1,3075,675,'2010-08-29 00:00:00'
411,1,3175,775,'2010-08-29 00:00:00'
412,1,3275,875,'2010-08-29 00:00:00'
413,1,3375,975,'2010-08-29 00:00:00'
414,1,3475,1075,'2010-08-29 00:00:00'
415,4,18,18,'2009-05-28 00:00:00'
416,4,118,118,'2009-05-28 00:00:00'
417,4,218,218,'2009-05-28 00:00:00'
418,4,318,318,'2009-05-28 00:00:00'
419,4,418,418,'2009-05-28 00:00:00'
420,4,518,518,'2009-05-28 00:00:00'
421,4,618,618,'2009-05-28 00:00:00'
422,4,718,718,'2009-05-28 00:00:00'
423,4,818,818,'2009-05-28 00:00:00'
424,4,918,918,'2009-05-28 00:00:00'
425,4,1018,1018,'2009-05-28 00:00:00'
426,4,1118,1118,'2009-05-28 00:00:00'
427,4,1218,18,'2009-05-28 00:00:00'
428,4,1318,118,'2009-05-28 00:00:00'
429,4,1418,218,'2009-05-28 00:00:00'
430,4,1518,318,'2009-05-28 00:00:00'
431,4,1618,418,'2009-05-28 00:00:00'
432,4,1718,518,'2009-05-28 00:00:00'
433,4,1818,618,'2009-05-28 00:00:00'
434,4,1918,718,'2009-05-28 00:00:00'
435,4,2018,818,'2009-05-28 00:00:00'
436,4,2118,918,'2009-05-28 00:00:00'
437,4,2218,1018,'2009-05-28 00:00:00'
438,4,2318,1118,'2009-05-28 00:00:00'
439,4,2418,18,'2009-05-28 00:00:00'
440,4,2518,118,'2009-05-28 00:00:00'
441,4,2618,218,'2009-05-28 00:00:00'
442,4,2718,318,'2009-05-28 00:00:00'
443,4,2818,418,'2009-05-28 00:00:00'
444,4,2918,518,'2009-05-28 00:00:00'
445,4,3018,618,'2009-05-28 00:00:00'
446,4,3118,718,'2009-05-28 00:00:00'
447,4,3218,818,'2009-05-28 00:00:00'
448,4,3318,918,'2009-05-28 00:00:00'
449,4,3418,1018,'2009-05-28 00:00:00'
450,4,3518,1118,'2009-05-28 00:00:00'
