HSGTDomainScoreID,HSGTScoreID,HSGTDomainID,DomainRawScore,PossibleDomainRawScore
10093,2472,14,4.00,13.00
10094,2473,10,6.00,18.00
10095,2473,11,4.00,17.00
10096,2473,12,6.00,20.00
10097,2473,13,8.00,18.00
10098,2473,14,5.00,13.00
10099,2474,15,2.00,12.00
10100,2474,16,2.00,14.00
10101,2474,17,3.00,21.00
10102,2474,18,1.00,18.00
10103,2475,4,1.00,14.00
10104,2475,5,1.00,14.00
10105,2475,6,4.00,16.00
10106,2475,7,2.00,11.00
10107,2475,8,4.00,13.00
10108,2475,9,4.00,12.00
10109,2476,1,1.00,24.00
10110,2476,2,8.00,21.00
10111,2476,3,0.00,0.00
10112,2477,10,4.00,18.00
10113,2477,11,8.00,17.00
10114,2477,12,12.00,20.00
10115,2477,13,10.00,18.00
10116,2477,14,7.00,13.00
10117,2478,4,10.00,14.00
10118,2478,5,10.00,14.00
10119,2478,6,11.00,16.00
10120,2478,7,7.00,11.00
10121,2478,8,8.00,13.00
10122,2478,9,8.00,12.00
10123,2479,15,6.00,12.00
10124,2479,16,7.00,14.00
10125,2479,17,9.00,21.00
10126,2479,18,11.00,18.00
10127,2480,1,23.00,24.00
10128,2480,2,13.00,21.00
10129,2480,3,0.00,0.00
10130,2481,10,4.00,18.00
10131,2481,11,4.00,17.00
10132,2481,12,5.00,20.00
10133,2481,13,4.00,18.00
10134,2481,14,2.00,13.00
10135,2482,10,3.00,18.00
10136,2482,11,5.00,17.00
10137,2482,12,7.00,20.00
10138,2482,13,6.00,18.00
10139,2482,14,4.00,13.00
10140,2483,10,1.00,18.00
10141,2483,11,1.00,17.00
10142,2483,12,8.00,20.00
10143,2483,13,7.00,18.00
10144,2483,14,5.00,13.00
10145,2484,15,3.00,12.00
10146,2484,16,3.00,14.00
10147,2484,17,4.00,21.00
10148,2484,18,7.00,18.00
10149,2485,4,6.00,14.00
10150,2485,5,6.00,14.00
10151,2485,6,7.00,16.00
10152,2485,7,4.00,11.00
10153,2485,8,5.00,13.00
10154,2485,9,3.00,12.00
10155,2486,4,5.00,14.00
10156,2486,5,4.00,14.00
10157,2486,6,7.00,16.00
10158,2486,7,2.00,11.00
10159,2486,8,2.00,13.00
10160,2486,9,4.00,12.00
10161,2487,15,2.00,12.00
10162,2487,16,1.00,14.00
10163,2487,17,1.00,21.00
10164,2487,18,7.00,18.00
10165,2488,4,1.00,14.00
10166,2488,5,1.00,14.00
10167,2488,6,1.00,16.00
10168,2488,7,2.00,11.00
10169,2488,8,3.00,13.00
10170,2488,9,3.00,12.00
10171,2489,1,7.00,24.00
10172,2489,2,5.00,21.00
10173,2489,3,0.00,0.00
10192,2494,4,7.00,14.00
10193,2494,5,7.00,14.00
10194,2494,6,11.00,16.00
10195,2494,7,7.00,11.00
10196,2494,8,8.00,13.00
10197,2494,9,7.00,12.00
10198,2495,10,14.00,18.00
10199,2495,11,13.00,17.00
10200,2495,12,16.00,20.00
10201,2495,13,14.00,18.00
10202,2495,14,10.00,13.00
10203,2496,1,4.00,24.00
10204,2496,2,15.00,21.00
10205,2496,3,0.00,0.00
10206,2497,15,7.00,12.00
10207,2497,16,7.00,14.00
10208,2497,17,14.00,21.00
10209,2497,18,12.00,18.00
10210,2498,10,10.00,18.00
10211,2498,11,13.00,17.00
10212,2498,12,16.00,20.00
10213,2498,13,14.00,18.00
10214,2498,14,4.00,13.00
10215,2499,4,4.00,14.00
10216,2499,5,6.00,14.00
10217,2499,6,2.00,16.00
10218,2499,7,1.00,11.00
10219,2499,8,1.00,13.00
10220,2499,9,4.00,12.00
10221,2500,15,6.00,12.00
10222,2500,16,8.00,14.00
10223,2500,17,12.00,21.00
10224,2500,18,14.00,18.00
10225,2501,1,9.00,24.00
10226,2501,2,2.00,21.00
10227,2501,3,0.00,0.00
10228,2502,10,7.00,18.00
10229,2502,11,11.00,17.00
10230,2502,12,11.00,20.00
10231,2502,13,13.00,18.00
10232,2502,14,9.00,13.00
10233,2503,4,7.00,14.00
10234,2503,5,7.00,14.00
10235,2503,6,11.00,16.00
10236,2503,7,7.00,11.00
10237,2503,8,8.00,13.00
10238,2503,9,9.00,12.00
10239,2504,1,18.00,24.00
10240,2504,2,15.00,21.00
10241,2504,3,0.00,0.00
10242,2505,15,11.00,12.00
10243,2505,16,12.00,14.00
10244,2505,17,11.00,21.00
10245,2505,18,10.00,18.00
10246,2506,4,4.00,14.00
10247,2506,5,4.00,14.00
10248,2506,6,3.00,16.00
10249,2506,7,2.00,11.00
10250,2506,8,2.00,13.00
10251,2506,9,3.00,12.00
10252,2507,1,3.00,24.00
10253,2507,2,1.00,21.00
10254,2507,3,0.00,0.00
10255,2508,10,11.00,18.00
10256,2508,11,10.00,17.00
10257,2508,12,12.00,20.00
10258,2508,13,14.00,18.00
10259,2508,14,10.00,13.00
10260,2509,15,6.00,12.00
10261,2509,16,7.00,14.00
10262,2509,17,19.00,21.00
10263,2509,18,16.00,18.00
10264,2510,10,10.00,18.00
10265,2510,11,9.00,17.00
10266,2510,12,10.00,20.00
10267,2510,13,9.00,18.00
10268,2510,14,6.00,13.00
10269,2511,4,11.00,14.00
10270,2511,5,11.00,14.00
10271,2511,6,15.00,16.00
10272,2511,7,10.00,11.00
10273,2511,8,11.00,13.00
10274,2511,9,10.00,12.00
10275,2512,1,13.00,24.00
10276,2512,2,11.00,21.00
10277,2512,3,0.00,0.00
10278,2513,15,10.00,12.00
10279,2513,16,11.00,14.00
10280,2513,17,15.00,21.00
10281,2513,18,13.00,18.00
10282,2514,10,13.00,18.00
10283,2514,11,6.00,17.00
10284,2514,12,5.00,20.00
10285,2514,13,8.00,18.00
10286,2514,14,5.00,13.00
10287,2515,4,11.00,14.00
10288,2515,5,7.00,14.00
10289,2515,6,14.00,16.00
10290,2515,7,10.00,11.00
10291,2515,8,7.00,13.00
10292,2515,9,6.00,12.00
10293,2516,1,5.00,24.00
10294,2516,2,4.00,21.00
10295,2516,3,0.00,0.00
10296,2517,15,10.00,12.00
10297,2517,16,11.00,14.00
10298,2517,17,19.00,21.00
10299,2517,18,9.00,18.00
10300,2518,4,3.00,14.00
10301,2518,5,3.00,14.00
10302,2518,6,4.00,16.00
10303,2518,7,2.00,11.00
10304,2518,8,2.00,13.00
10305,2518,9,4.00,12.00
10306,2519,10,4.00,18.00
10307,2519,11,12.00,17.00
10308,2519,12,14.00,20.00
10309,2519,13,6.00,18.00
10310,2519,14,5.00,13.00
10311,2520,15,4.00,12.00
10312,2520,16,6.00,14.00
10313,2520,17,9.00,21.00
10314,2520,18,12.00,18.00
10315,2521,1,7.00,24.00
10316,2521,2,6.00,21.00
10317,2521,3,0.00,0.00
10318,2522,10,7.00,18.00
10319,2522,11,6.00,17.00
10320,2522,12,8.00,20.00
10321,2522,13,3.00,18.00
10322,2522,14,3.00,13.00
10323,2523,1,10.00,24.00
10324,2523,2,9.00,21.00
10325,2523,3,0.00,0.00
10326,2524,4,7.00,14.00
10327,2524,5,7.00,14.00
10328,2524,6,11.00,16.00
10329,2524,7,7.00,11.00
10330,2524,8,7.00,13.00
10331,2524,9,9.00,12.00
10332,2525,15,8.00,12.00
10333,2525,16,4.00,14.00
10334,2525,17,4.00,21.00
10335,2525,18,8.00,18.00
10336,2526,4,4.00,14.00
10337,2526,5,4.00,14.00
10338,2526,6,7.00,16.00
10339,2526,7,4.00,11.00
10340,2526,8,4.00,13.00
10341,2526,9,4.00,12.00
10342,2527,10,4.00,18.00
10343,2527,11,4.00,17.00
10344,2527,12,3.00,20.00
10345,2527,13,6.00,18.00
10346,2527,14,3.00,13.00
10347,2528,10,1.00,18.00
10348,2528,11,4.00,17.00
10349,2528,12,4.00,20.00
10350,2528,13,4.00,18.00
10351,2528,14,2.00,13.00
10352,2529,4,4.00,14.00
10353,2529,5,4.00,14.00
10354,2529,6,5.00,16.00
10355,2529,7,4.00,11.00
10356,2529,8,5.00,13.00
10357,2529,9,5.00,12.00
10358,2530,10,2.00,18.00
10359,2530,11,1.00,17.00
10360,2530,12,1.00,20.00
10361,2530,13,1.00,18.00
10362,2530,14,2.00,13.00
10363,2531,4,4.00,14.00
10364,2531,5,4.00,14.00
10365,2531,6,7.00,16.00
10366,2531,7,4.00,11.00
10367,2531,8,4.00,13.00
10368,2531,9,1.00,12.00
10369,2532,1,6.00,24.00
10370,2532,2,3.00,21.00
10371,2532,3,0.00,0.00
10372,2533,15,3.00,12.00
10373,2533,16,4.00,14.00
10374,2533,17,1.00,21.00
10375,2533,18,4.00,18.00
10376,2534,10,3.00,18.00
10377,2534,11,5.00,17.00
10378,2534,12,9.00,20.00
10379,2534,13,7.00,18.00
10380,2534,14,12.00,13.00
10381,2535,10,1.00,18.00
10382,2535,11,1.00,17.00
10383,2535,12,1.00,20.00
10384,2535,13,11.00,18.00
10385,2535,14,2.00,13.00
10386,2536,10,5.00,18.00
10387,2536,11,5.00,17.00
10388,2536,12,3.00,20.00
10389,2536,13,8.00,18.00
10390,2536,14,5.00,13.00
10391,2537,1,3.00,24.00
10392,2537,2,9.00,21.00
10393,2537,3,0.00,0.00
10394,2538,15,5.00,12.00
10395,2538,16,6.00,14.00
10396,2538,17,4.00,21.00
10397,2538,18,6.00,18.00
10398,2539,10,8.00,18.00
10399,2539,11,3.00,17.00
10400,2539,12,2.00,20.00
10401,2539,13,1.00,18.00
10402,2539,14,2.00,13.00
10403,2540,4,5.00,14.00
10404,2540,5,5.00,14.00
10405,2540,6,4.00,16.00
10406,2540,7,4.00,11.00
10407,2540,8,4.00,13.00
10408,2540,9,4.00,12.00
10409,2541,15,1.00,12.00
10410,2541,16,3.00,14.00
10411,2541,17,3.00,21.00
10412,2541,18,3.00,18.00
10413,2542,15,4.00,12.00
10414,2542,16,5.00,14.00
10415,2542,17,5.00,21.00
10416,2542,18,7.00,18.00
10417,2543,10,1.00,18.00
10418,2543,11,1.00,17.00
10419,2543,12,4.00,20.00
10420,2543,13,3.00,18.00
10421,2543,14,5.00,13.00
10422,2544,15,5.00,12.00
10423,2544,16,2.00,14.00
10424,2544,17,2.00,21.00
10425,2544,18,5.00,18.00
10426,2545,1,10.00,24.00
10427,2545,2,5.00,21.00
10428,2545,3,0.00,0.00
10429,2546,10,3.00,18.00
10430,2546,11,5.00,17.00
10431,2546,12,7.00,20.00
10432,2546,13,6.00,18.00
10433,2546,14,4.00,13.00
10434,2547,4,2.00,14.00
10435,2547,5,2.00,14.00
10436,2547,6,1.00,16.00
10437,2547,7,1.00,11.00
10438,2547,8,1.00,13.00
10439,2547,9,1.00,12.00
10440,2548,4,2.00,14.00
10441,2548,5,4.00,14.00
10442,2548,6,5.00,16.00
10443,2548,7,4.00,11.00
10444,2548,8,5.00,13.00
10445,2548,9,5.00,12.00
10446,2549,4,5.00,14.00
10447,2549,5,2.00,14.00
10448,2549,6,1.00,16.00
10449,2549,7,2.00,11.00
10450,2549,8,2.00,13.00
10451,2549,9,2.00,12.00
10452,2550,4,1.00,14.00
10453,2550,5,1.00,14.00
10454,2550,6,1.00,16.00
10455,2550,7,2.00,11.00
10456,2550,8,3.00,13.00
10457,2550,9,2.00,12.00
10458,2551,15,4.00,12.00
10459,2551,16,5.00,14.00
10460,2551,17,5.00,21.00
10461,2551,18,5.00,18.00
10462,2552,15,2.00,12.00
10463,2552,16,2.00,14.00
10464,2552,17,11.00,21.00
10465,2552,18,11.00,18.00
10466,2553,4,2.00,14.00
10467,2553,5,4.00,14.00
10468,2553,6,7.00,16.00
10469,2553,7,4.00,11.00
10470,2553,8,5.00,13.00
10471,2553,9,1.00,12.00
10472,2554,1,15.00,24.00
10473,2554,2,12.00,21.00
10474,2554,3,0.00,0.00
10475,2555,10,17.00,18.00
10476,2555,11,16.00,17.00
10477,2555,12,11.00,20.00
10478,2555,13,11.00,18.00
10479,2555,14,8.00,13.00
10480,2556,4,11.00,14.00
10481,2556,5,11.00,14.00
10482,2556,6,12.00,16.00
10483,2556,7,8.00,11.00
10484,2556,8,12.00,13.00
10485,2556,9,11.00,12.00
10486,2557,1,4.00,24.00
10487,2557,2,4.00,21.00
10488,2557,3,0.00,0.00
10489,2558,15,8.00,12.00
10490,2558,16,9.00,14.00
10491,2558,17,14.00,21.00
10492,2558,18,11.00,18.00
10493,2559,10,10.00,18.00
10494,2559,11,10.00,17.00
10495,2559,12,16.00,20.00
10496,2559,13,12.00,18.00
10497,2559,14,8.00,13.00
10498,2560,1,11.00,24.00
10499,2560,2,9.00,21.00
10500,2560,3,0.00,0.00
10501,2561,4,9.00,14.00
10502,2561,5,9.00,14.00
10503,2561,6,13.00,16.00
10504,2561,7,9.00,11.00
10505,2561,8,11.00,13.00
10506,2561,9,9.00,12.00
10507,2562,15,8.00,12.00
10508,2562,16,10.00,14.00
10509,2562,17,14.00,21.00
10510,2562,18,12.00,18.00
10511,2563,10,4.00,18.00
10512,2563,11,3.00,17.00
10513,2563,12,6.00,20.00
10514,2563,13,4.00,18.00
10515,2563,14,3.00,13.00
10516,2564,4,2.00,14.00
10517,2564,5,1.00,14.00
10518,2564,6,3.00,16.00
10519,2564,7,2.00,11.00
10520,2564,8,4.00,13.00
10521,2564,9,4.00,12.00
10522,2565,15,5.00,12.00
10523,2565,16,5.00,14.00
10524,2565,17,2.00,21.00
10525,2565,18,2.00,18.00
10526,2566,1,11.00,24.00
10527,2566,2,9.00,21.00
10528,2566,3,0.00,0.00
10529,2567,10,6.00,18.00
10530,2567,11,5.00,17.00
10531,2567,12,5.00,20.00
10532,2567,13,5.00,18.00
10533,2567,14,3.00,13.00
10534,2568,4,6.00,14.00
10535,2568,5,5.00,14.00
10536,2568,6,6.00,16.00
10537,2568,7,3.00,11.00
10538,2568,8,4.00,13.00
10539,2568,9,1.00,12.00
10540,2569,1,4.00,24.00
10541,2569,2,3.00,21.00
10542,2569,3,0.00,0.00
10543,2570,15,7.00,12.00
10544,2570,16,7.00,14.00
10545,2570,17,10.00,21.00
10546,2570,18,13.00,18.00
10547,2571,4,7.00,14.00
10548,2571,5,7.00,14.00
10549,2571,6,8.00,16.00
10550,2571,7,7.00,11.00
10551,2571,8,8.00,13.00
10552,2571,9,8.00,12.00
10553,2572,10,11.00,18.00
10554,2572,11,10.00,17.00
10555,2572,12,12.00,20.00
10556,2572,13,11.00,18.00
10557,2572,14,10.00,13.00
10558,2573,1,20.00,24.00
10559,2573,2,17.00,21.00
10560,2573,3,0.00,0.00
10561,2574,15,6.00,12.00
10562,2574,16,9.00,14.00
10563,2574,17,17.00,21.00
10564,2574,18,15.00,18.00
10565,2575,10,13.00,18.00
10566,2575,11,10.00,17.00
10567,2575,12,12.00,20.00
10568,2575,13,11.00,18.00
10569,2575,14,9.00,13.00
10570,2576,4,9.00,14.00
10571,2576,5,5.00,14.00
10572,2576,6,5.00,16.00
10573,2576,7,5.00,11.00
10574,2576,8,5.00,13.00
10575,2576,9,6.00,12.00
10576,2577,15,7.00,12.00
10577,2577,16,10.00,14.00
10578,2577,17,8.00,21.00
10579,2577,18,7.00,18.00
10580,2578,1,13.00,24.00
10581,2578,2,11.00,21.00
10582,2578,3,0.00,0.00
10583,2579,10,13.00,18.00
10584,2579,11,10.00,17.00
10585,2579,12,16.00,20.00
10586,2579,13,14.00,18.00
10587,2579,14,9.00,13.00
10588,2580,4,12.00,14.00
10589,2580,5,12.00,14.00
10590,2580,6,9.00,16.00
10591,2580,7,6.00,11.00
10592,2580,8,7.00,13.00
10593,2580,9,6.00,12.00
10594,2581,15,6.00,12.00
10595,2581,16,8.00,14.00
10596,2581,17,12.00,21.00
10597,2581,18,14.00,18.00
10598,2582,1,23.00,24.00
10599,2582,2,18.00,21.00
10600,2582,3,0.00,0.00
10601,2583,15,1.00,12.00
10602,2583,16,1.00,14.00
10603,2583,17,2.00,21.00
10604,2583,18,8.00,18.00
10605,2584,10,7.00,18.00
10606,2584,11,7.00,17.00
10607,2584,12,13.00,20.00
10608,2584,13,9.00,18.00
10609,2584,14,7.00,13.00
10610,2585,4,5.00,14.00
10611,2585,5,5.00,14.00
10612,2585,6,1.00,16.00
10613,2585,7,2.00,11.00
10614,2585,8,3.00,13.00
10615,2585,9,2.00,12.00
10616,2586,1,10.00,24.00
10617,2586,2,2.00,21.00
10618,2586,3,0.00,0.00
10619,2587,4,10.00,14.00
10620,2587,5,10.00,14.00
10621,2587,6,11.00,16.00
10622,2587,7,4.00,11.00
10623,2587,8,4.00,13.00
10624,2587,9,8.00,12.00
10625,2588,10,15.00,18.00
10626,2588,11,14.00,17.00
10627,2588,12,15.00,20.00
10628,2588,13,13.00,18.00
10629,2588,14,12.00,13.00
10630,2589,1,20.00,24.00
10631,2589,2,18.00,21.00
10632,2589,3,0.00,0.00
10633,2590,15,6.00,12.00
10634,2590,16,7.00,14.00
10635,2590,17,14.00,21.00
10636,2590,18,12.00,18.00
10637,2591,10,14.00,18.00
10638,2591,11,16.00,17.00
10639,2591,12,19.00,20.00
10640,2591,13,16.00,18.00
10641,2591,14,6.00,13.00
10642,2592,4,9.00,14.00
10643,2592,5,9.00,14.00
10644,2592,6,13.00,16.00
10645,2592,7,9.00,11.00
10646,2592,8,10.00,13.00
10647,2592,9,10.00,12.00
10648,2593,15,9.00,12.00
10649,2593,16,13.00,14.00
10650,2593,17,19.00,21.00
10651,2593,18,17.00,18.00
10652,2594,1,20.00,24.00
10653,2594,2,18.00,21.00
10654,2594,3,0.00,0.00
10655,2595,10,4.00,18.00
10656,2595,11,4.00,17.00
10657,2595,12,3.00,20.00
10658,2595,13,3.00,18.00
10659,2595,14,4.00,13.00
10660,2596,15,6.00,12.00
10661,2596,16,9.00,14.00
10662,2596,17,15.00,21.00
10663,2596,18,6.00,18.00
10664,2597,4,7.00,14.00
10665,2597,5,9.00,14.00
10666,2597,6,9.00,16.00
10667,2597,7,6.00,11.00
10668,2597,8,10.00,13.00
10669,2597,9,9.00,12.00
