StandardizedTestScoreID,StudentID,SISStudentID,TestDate,SubjectID,RawScore,PossibleRawScore,ScaledScore,PossibleScaledScore,PerformanceLevel,Lexile,LatestTest
96,357,357,'2010-04-02 00:00:00',18,7.00,8.00,863.00,950.00,3.00, 320L,1
97,358,358,'2010-04-02 00:00:00',6,43.00,50.00,835.00,950.00,2.00, 130L,1
98,358,358,'2010-04-02 00:00:00',10,54.00,60.00,855.00,950.00,3.00, 130L,1
99,358,358,'2010-04-02 00:00:00',18,7.00,8.00,841.00,950.00,2.00, 130L,1
100,375,375,'2010-04-02 00:00:00',6,43.00,50.00,835.00,950.00,2.00, 205L,1
101,375,375,'2010-04-02 00:00:00',10,54.00,60.00,855.00,950.00,3.00, 205L,1
102,375,375,'2010-04-02 00:00:00',18,7.00,8.00,850.00,950.00,3.00, 205L,1
103,386,386,'2010-04-02 00:00:00',6,25.00,50.00,794.00,950.00,1.00,  BR,1
104,386,386,'2010-04-02 00:00:00',10,24.00,60.00,780.00,950.00,1.00,  BR,1
105,386,386,'2010-04-02 00:00:00',18,5.00,8.00,807.00,950.00,2.00,  BR,1
106,387,387,'2010-04-02 00:00:00',6,19.00,50.00,782.00,950.00,1.00,  BR,1
107,387,387,'2010-04-02 00:00:00',10,36.00,60.00,804.00,950.00,2.00,  BR,1
108,387,387,'2010-04-02 00:00:00',18,3.00,8.00,797.00,950.00,1.00,  BR,1
109,388,388,'2010-04-02 00:00:00',6,28.00,50.00,800.00,950.00,2.00,  BR,1
110,388,388,'2010-04-02 00:00:00',10,42.00,60.00,817.00,950.00,2.00,  BR,1
111,388,388,'2010-04-02 00:00:00',18,6.00,8.00,812.00,950.00,2.00,  BR,1
112,400,400,'2010-04-02 00:00:00',6,34.00,50.00,811.00,950.00,2.00,  BR,1
113,400,400,'2010-04-02 00:00:00',10,46.00,60.00,827.00,950.00,2.00,  BR,1
114,400,400,'2010-04-02 00:00:00',18,7.00,8.00,824.00,950.00,2.00,  BR,1
115,404,404,'2010-04-02 00:00:00',6,39.00,50.00,823.00,950.00,2.00,  BR,1
116,404,404,'2010-04-02 00:00:00',10,53.00,60.00,850.00,950.00,3.00,  BR,1
117,404,404,'2010-04-02 00:00:00',18,7.00,8.00,824.00,950.00,2.00,  BR,1
118,405,405,'2010-04-02 00:00:00',6,48.00,50.00,864.00,950.00,3.00, 320L,1
119,405,405,'2010-04-02 00:00:00',10,59.00,60.00,903.00,950.00,3.00, 320L,1
120,405,405,'2010-04-02 00:00:00',18,8.00,8.00,863.00,950.00,3.00, 320L,1
121,428,428,'2010-04-02 00:00:00',6,39.00,50.00,823.00,950.00,2.00, 205L,1
122,428,428,'2010-04-02 00:00:00',10,40.00,60.00,812.00,950.00,2.00, 205L,1
123,428,428,'2010-04-02 00:00:00',18,6.00,8.00,850.00,950.00,3.00, 205L,1
124,457,457,'2010-04-02 00:00:00',6,48.00,50.00,864.00,950.00,3.00,  55L,1
125,457,457,'2010-04-02 00:00:00',10,46.00,60.00,827.00,950.00,2.00,  55L,1
126,457,457,'2010-04-02 00:00:00',18,8.00,8.00,832.00,950.00,2.00,  55L,1
127,458,458,'2010-04-02 00:00:00',6,15.00,50.00,774.00,950.00,1.00,  BR,1
128,458,458,'2010-04-02 00:00:00',10,25.00,60.00,782.00,950.00,1.00,  BR,1
129,458,458,'2010-04-02 00:00:00',18,2.00,8.00,789.00,950.00,1.00,  BR,1
130,475,475,'2010-04-02 00:00:00',6,23.00,50.00,790.00,950.00,1.00,  BR,1
131,475,475,'2010-04-02 00:00:00',10,26.00,60.00,784.00,950.00,1.00,  BR,1
132,475,475,'2010-04-02 00:00:00',18,4.00,8.00,789.00,950.00,1.00,  BR,1
133,486,486,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 130L,1
134,486,486,'2010-04-02 00:00:00',10,44.00,60.00,822.00,950.00,2.00, 130L,1
135,486,486,'2010-04-02 00:00:00',18,7.00,8.00,841.00,950.00,2.00, 130L,1
136,487,487,'2010-04-02 00:00:00',6,36.00,50.00,815.00,950.00,2.00,  BR,1
137,487,487,'2010-04-02 00:00:00',10,40.00,60.00,812.00,950.00,2.00,  BR,1
138,487,487,'2010-04-02 00:00:00',18,6.00,8.00,821.00,950.00,2.00,  BR,1
139,488,488,'2010-04-02 00:00:00',6,29.00,50.00,801.00,950.00,2.00,  BR,1
140,488,488,'2010-04-02 00:00:00',10,42.00,60.00,817.00,950.00,2.00,  BR,1
141,488,488,'2010-04-02 00:00:00',18,6.00,8.00,815.00,950.00,2.00,  BR,1
142,500,500,'2010-04-02 00:00:00',6,22.00,50.00,788.00,950.00,1.00,  BR,1
143,500,500,'2010-04-02 00:00:00',10,35.00,60.00,802.00,950.00,2.00,  BR,1
144,500,500,'2010-04-02 00:00:00',18,2.00,8.00,789.00,950.00,1.00,  BR,1
145,504,504,'2010-04-02 00:00:00',6,28.00,50.00,800.00,950.00,2.00,  BR,1
146,504,504,'2010-04-02 00:00:00',10,36.00,60.00,804.00,950.00,2.00,  BR,1
147,504,504,'2010-04-02 00:00:00',18,6.00,8.00,812.00,950.00,2.00,  BR,1
148,505,505,'2010-04-02 00:00:00',6,35.00,50.00,813.00,950.00,2.00,  55L,1
149,505,505,'2010-04-02 00:00:00',10,43.00,60.00,819.00,950.00,2.00,  55L,1
150,505,505,'2010-04-02 00:00:00',18,7.00,8.00,832.00,950.00,2.00,  55L,1
151,528,528,'2010-04-02 00:00:00',6,19.00,50.00,782.00,950.00,1.00,  BR,1
152,528,528,'2010-04-02 00:00:00',10,26.00,60.00,784.00,950.00,1.00,  BR,1
153,528,528,'2010-04-02 00:00:00',18,3.00,8.00,794.00,950.00,1.00,  BR,1
154,557,557,'2009-01-01 00:00:00',6,21.00,50.00,786.00,950.00,1.00,   BR,0
155,557,557,'2010-04-02 00:00:00',6,24.00,50.00,792.00,950.00,1.00,  BR,1
156,557,557,'2009-01-01 00:00:00',10,0.00,0.00,307.00,950.00,2.00,   BR,0
157,557,557,'2010-04-02 00:00:00',10,29.00,60.00,790.00,950.00,1.00,  BR,1
158,557,557,'2009-01-01 00:00:00',18,5.00,8.00,788.00,950.00,1.00,   BR,0
159,557,557,'2010-04-02 00:00:00',18,4.00,8.00,809.00,950.00,2.00,  BR,1
160,558,558,'2010-04-02 00:00:00',6,24.00,50.00,792.00,950.00,1.00,  BR,1
161,558,558,'2010-04-02 00:00:00',10,39.00,60.00,810.00,950.00,2.00,  BR,1
162,558,558,'2010-04-02 00:00:00',18,7.00,8.00,818.00,950.00,2.00,  BR,1
163,575,575,'2010-04-02 00:00:00',6,47.00,50.00,855.00,950.00,3.00, 205L,1
164,575,575,'2010-04-02 00:00:00',10,53.00,60.00,850.00,950.00,3.00, 205L,1
165,575,575,'2010-04-02 00:00:00',18,7.00,8.00,850.00,950.00,3.00, 205L,1
166,586,586,'2010-04-02 00:00:00',6,16.00,50.00,776.00,950.00,1.00,  BR,1
167,586,586,'2010-04-02 00:00:00',10,28.00,60.00,788.00,950.00,1.00,  BR,1
168,586,586,'2010-04-02 00:00:00',18,5.00,8.00,807.00,950.00,2.00,  BR,1
169,587,587,'2010-04-02 00:00:00',6,45.00,50.00,843.00,950.00,2.00, 205L,1
170,587,587,'2010-04-02 00:00:00',10,55.00,60.00,860.00,950.00,3.00, 205L,1
171,587,587,'2010-04-02 00:00:00',18,6.00,8.00,850.00,950.00,3.00, 205L,1
172,588,588,'2010-04-02 00:00:00',6,42.00,50.00,831.00,950.00,2.00, 240L,1
173,588,588,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00, 240L,1
174,588,588,'2010-04-02 00:00:00',18,7.00,8.00,854.00,950.00,3.00, 240L,1
175,600,600,'2010-04-02 00:00:00',6,17.00,50.00,778.00,950.00,1.00,  BR,1
176,600,600,'2010-04-02 00:00:00',10,25.00,60.00,782.00,950.00,1.00,  BR,1
177,600,600,'2010-04-02 00:00:00',18,1.00,8.00,767.00,950.00,1.00,  BR,1
178,604,604,'2009-01-01 00:00:00',6,31.00,50.00,806.00,950.00,2.00,  285,0
179,604,604,'2010-04-02 00:00:00',6,35.00,50.00,813.00,950.00,2.00, 320L,1
180,604,604,'2010-04-02 00:00:00',10,48.00,60.00,832.00,950.00,2.00, 320L,0
181,604,604,'2009-01-01 00:00:00',10,0.00,0.00,317.00,950.00,2.00,  285,1
182,604,604,'2009-01-01 00:00:00',18,8.00,8.00,859.00,950.00,3.00,  285,0
183,604,604,'2010-04-02 00:00:00',18,7.00,8.00,863.00,950.00,3.00, 320L,1
184,605,605,'2010-04-02 00:00:00',6,24.00,50.00,787.00,950.00,1.00, 330L,0
185,605,605,'2009-01-01 00:00:00',6,23.00,50.00,790.00,950.00,1.00,   BR,1
186,605,605,'2009-01-01 00:00:00',10,0.00,0.00,300.00,950.00,2.00,   BR,0
187,605,605,'2010-04-02 00:00:00',10,26.00,60.00,786.00,950.00,1.00, 330L,1
188,605,605,'2009-01-01 00:00:00',18,6.00,8.00,795.00,950.00,1.00,   BR,0
189,605,605,'2010-04-02 00:00:00',18,6.00,8.00,826.00,950.00,2.00, 330L,1
190,628,628,'2010-04-02 00:00:00',6,38.00,50.00,820.00,950.00,2.00,  20L,1
191,628,628,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00,  20L,1
192,628,628,'2010-04-02 00:00:00',18,8.00,8.00,828.00,950.00,2.00,  20L,1
193,658,658,'2010-04-02 00:00:00',6,47.00,50.00,855.00,950.00,3.00, 455L,1
194,658,658,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00, 455L,1
195,658,658,'2010-04-02 00:00:00',18,7.00,8.00,879.00,950.00,3.00, 455L,1
196,675,675,'2010-04-02 00:00:00',6,45.00,50.00,843.00,950.00,2.00,  BR,1
197,675,675,'2010-04-02 00:00:00',10,36.00,60.00,804.00,950.00,2.00,  BR,1
198,675,675,'2010-04-02 00:00:00',18,8.00,8.00,818.00,950.00,2.00,  BR,1
199,686,686,'2010-04-02 00:00:00',6,45.00,50.00,843.00,950.00,2.00, 130L,1
200,686,686,'2010-04-02 00:00:00',10,44.00,60.00,822.00,950.00,2.00, 130L,1
201,686,686,'2010-04-02 00:00:00',18,7.00,8.00,841.00,950.00,2.00, 130L,1
202,687,687,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 240L,1
203,687,687,'2010-04-02 00:00:00',10,57.00,60.00,874.00,950.00,3.00, 240L,1
204,687,687,'2010-04-02 00:00:00',18,7.00,8.00,854.00,950.00,3.00, 240L,1
205,700,700,'2010-04-02 00:00:00',6,25.00,50.00,794.00,950.00,1.00,  BR,1
206,700,700,'2010-04-02 00:00:00',10,45.00,60.00,824.00,950.00,2.00,  BR,1
207,700,700,'2010-04-02 00:00:00',18,6.00,8.00,815.00,950.00,2.00,  BR,1
208,704,704,'2010-04-02 00:00:00',6,40.00,50.00,825.00,950.00,2.00, 240L,1
209,704,704,'2010-04-02 00:00:00',10,45.00,60.00,824.00,950.00,2.00, 240L,1
210,704,704,'2010-04-02 00:00:00',18,7.00,8.00,854.00,950.00,3.00, 240L,1
211,705,705,'2010-04-02 00:00:00',6,41.00,50.00,828.00,950.00,2.00, 205L,1
212,705,705,'2010-04-02 00:00:00',10,56.00,60.00,866.00,950.00,3.00, 205L,1
213,705,705,'2010-04-02 00:00:00',18,7.00,8.00,850.00,950.00,3.00, 205L,1
214,728,728,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 320L,1
215,728,728,'2010-04-02 00:00:00',10,51.00,60.00,842.00,950.00,2.00, 320L,1
216,728,728,'2010-04-02 00:00:00',18,7.00,8.00,863.00,950.00,3.00, 320L,1
217,757,757,'2010-04-02 00:00:00',6,29.00,50.00,801.00,950.00,2.00,  BR,1
218,757,757,'2010-04-02 00:00:00',10,42.00,60.00,817.00,950.00,2.00,  BR,1
219,757,757,'2010-04-02 00:00:00',18,8.00,8.00,815.00,950.00,2.00,  BR,1
220,775,775,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 240L,1
221,775,775,'2010-04-02 00:00:00',10,44.00,60.00,822.00,950.00,2.00, 240L,1
222,775,775,'2010-04-02 00:00:00',18,7.00,8.00,854.00,950.00,3.00, 240L,1
223,786,786,'2010-04-02 00:00:00',6,47.00,50.00,855.00,950.00,3.00, 205L,1
224,786,786,'2010-04-02 00:00:00',10,53.00,60.00,850.00,950.00,3.00, 205L,1
225,786,786,'2010-04-02 00:00:00',18,7.00,8.00,850.00,950.00,3.00, 205L,1
226,787,787,'2010-04-02 00:00:00',6,44.00,50.00,839.00,950.00,2.00, 240L,1
227,787,787,'2010-04-02 00:00:00',10,57.00,60.00,874.00,950.00,3.00, 240L,1
228,787,787,'2010-04-02 00:00:00',18,8.00,8.00,854.00,950.00,3.00, 240L,1
229,788,788,'2010-04-02 00:00:00',6,31.00,50.00,802.00,950.00,2.00, 185L,0
230,788,788,'2009-01-01 00:00:00',6,31.00,50.00,806.00,950.00,2.00,   BR,1
231,788,788,'2009-01-01 00:00:00',10,0.00,0.00,312.00,950.00,2.00,   BR,0
232,788,788,'2010-04-02 00:00:00',10,41.00,60.00,813.00,950.00,2.00, 185L,1
233,788,788,'2009-01-01 00:00:00',18,6.00,8.00,807.00,950.00,2.00,   BR,0
234,788,788,'2010-04-02 00:00:00',18,7.00,8.00,807.00,950.00,2.00, 185L,1
235,800,800,'2010-04-02 00:00:00',6,38.00,50.00,820.00,950.00,2.00,  85L,1
236,800,800,'2010-04-02 00:00:00',10,50.00,60.00,839.00,950.00,2.00,  85L,1
237,800,800,'2010-04-02 00:00:00',18,6.00,8.00,836.00,950.00,2.00,  85L,1
238,804,804,'2010-04-02 00:00:00',6,42.00,50.00,831.00,950.00,2.00, 205L,1
239,804,804,'2010-04-02 00:00:00',10,50.00,60.00,839.00,950.00,2.00, 205L,1
240,804,804,'2010-04-02 00:00:00',18,8.00,8.00,850.00,950.00,3.00, 205L,1
241,805,805,'2010-04-02 00:00:00',6,42.00,50.00,831.00,950.00,2.00, 205L,1
242,805,805,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00, 205L,1
243,805,805,'2010-04-02 00:00:00',18,8.00,8.00,850.00,950.00,3.00, 205L,1
244,828,828,'2010-04-02 00:00:00',6,36.00,50.00,815.00,950.00,2.00,  55L,1
245,828,828,'2010-04-02 00:00:00',10,48.00,60.00,832.00,950.00,2.00,  55L,1
246,828,828,'2010-04-02 00:00:00',18,6.00,8.00,832.00,950.00,2.00,  55L,1
247,857,857,'2010-04-02 00:00:00',6,19.00,50.00,782.00,950.00,1.00,  BR,1
248,857,857,'2010-04-02 00:00:00',10,19.00,60.00,770.00,950.00,1.00,  BR,1
249,857,857,'2010-04-02 00:00:00',18,4.00,8.00,789.00,950.00,1.00,  BR,1
250,858,858,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 240L,1
251,858,858,'2010-04-02 00:00:00',10,55.00,60.00,860.00,950.00,3.00, 240L,1
252,858,858,'2010-04-02 00:00:00',18,8.00,8.00,854.00,950.00,3.00, 240L,1
253,875,875,'2010-04-02 00:00:00',6,41.00,50.00,828.00,950.00,2.00, 205L,1
254,875,875,'2010-04-02 00:00:00',10,52.00,60.00,846.00,950.00,2.00, 205L,1
255,875,875,'2010-04-02 00:00:00',18,7.00,8.00,850.00,950.00,3.00, 205L,1
256,886,886,'2010-04-02 00:00:00',6,46.00,50.00,850.00,950.00,3.00, 240L,1
257,886,886,'2010-04-02 00:00:00',10,37.00,60.00,806.00,950.00,2.00, 240L,1
258,886,886,'2010-04-02 00:00:00',18,8.00,8.00,854.00,950.00,3.00, 240L,1
259,887,887,'2010-04-02 00:00:00',6,50.00,50.00,910.00,950.00,3.00, 455L,1
260,887,887,'2010-04-02 00:00:00',10,58.00,60.00,885.00,950.00,3.00, 455L,1
261,887,887,'2010-04-02 00:00:00',18,8.00,8.00,879.00,950.00,3.00, 455L,1
262,888,888,'2010-04-02 00:00:00',6,39.00,50.00,823.00,950.00,2.00, 130L,1
263,888,888,'2010-04-02 00:00:00',10,47.00,60.00,829.00,950.00,2.00, 130L,1
264,888,888,'2010-04-02 00:00:00',18,6.00,8.00,841.00,950.00,2.00, 130L,1
265,900,900,'2010-04-02 00:00:00',6,37.00,50.00,818.00,950.00,2.00,  BR,1
266,900,900,'2010-04-02 00:00:00',10,47.00,60.00,829.00,950.00,2.00,  BR,1
267,900,900,'2010-04-02 00:00:00',18,7.00,8.00,807.00,950.00,2.00,  BR,1
268,904,904,'2010-04-02 00:00:00',6,40.00,50.00,825.00,950.00,2.00,  85L,1
269,904,904,'2010-04-02 00:00:00',10,51.00,60.00,842.00,950.00,2.00,  85L,1
270,904,904,'2010-04-02 00:00:00',18,7.00,8.00,836.00,950.00,2.00,  85L,1
271,905,905,'2010-04-02 00:00:00',6,37.00,50.00,818.00,950.00,2.00,  20L,1
272,905,905,'2010-04-02 00:00:00',10,39.00,60.00,810.00,950.00,2.00,  20L,1
273,905,905,'2010-04-02 00:00:00',18,6.00,8.00,828.00,950.00,2.00,  20L,1
274,928,928,'2010-04-02 00:00:00',6,48.00,50.00,864.00,950.00,3.00, 455L,1
275,928,928,'2010-04-02 00:00:00',10,60.00,60.00,930.00,950.00,3.00, 455L,1
276,928,928,'2010-04-02 00:00:00',18,8.00,8.00,879.00,950.00,3.00, 455L,1
277,957,957,'2010-04-02 00:00:00',6,41.00,50.00,828.00,950.00,2.00,  BR,1
278,957,957,'2010-04-02 00:00:00',10,53.00,60.00,850.00,950.00,3.00,  BR,1
279,957,957,'2010-04-02 00:00:00',18,6.00,8.00,807.00,950.00,2.00,  BR,1
280,958,958,'2010-04-02 00:00:00',6,16.00,50.00,776.00,950.00,1.00,  BR,1
281,958,958,'2010-04-02 00:00:00',10,24.00,60.00,780.00,950.00,1.00,  BR,1
282,958,958,'2010-04-02 00:00:00',18,2.00,8.00,779.00,950.00,1.00,  BR,1
283,975,975,'2010-04-02 00:00:00',6,39.00,50.00,823.00,950.00,2.00,  BR,1
284,975,975,'2010-04-02 00:00:00',10,40.00,60.00,812.00,950.00,2.00,  BR,1
285,975,975,'2010-04-02 00:00:00',18,5.00,8.00,815.00,950.00,2.00,  BR,1
286,986,986,'2009-01-01 00:00:00',6,26.00,50.00,796.00,950.00,1.00,   BR,0
287,986,986,'2010-04-02 00:00:00',6,39.00,50.00,823.00,950.00,2.00,  20L,1
288,986,986,'2009-01-01 00:00:00',10,0.00,0.00,305.00,950.00,2.00,   BR,0
