StandardizedTestDomainScoreID,StandardizedTestScoreID,StandardizedTestDomainID,RawScore,PossibleRawScore
202,38,10,5.00,6.00
203,38,11,27.00,33.00
204,39,12,0.00,0.00
205,39,13,0.00,0.00
206,39,14,0.00,0.00
207,39,15,0.00,0.00
208,39,16,6.00,8.00
209,40,1,4.00,6.00
210,40,2,0.00,0.00
211,40,3,4.00,8.00
212,40,4,0.00,0.00
213,40,5,0.00,0.00
214,40,6,20.00,36.00
215,41,7,6.00,12.00
216,41,8,0.00,0.00
217,41,9,9.00,9.00
218,41,10,4.00,6.00
219,41,11,20.00,33.00
220,42,12,0.00,0.00
221,42,13,0.00,0.00
222,42,14,0.00,0.00
223,42,15,0.00,0.00
224,42,16,6.00,8.00
225,43,1,6.00,6.00
226,43,2,0.00,0.00
227,43,3,6.00,8.00
228,43,4,0.00,0.00
229,43,5,0.00,0.00
230,43,6,30.00,36.00
231,44,7,12.00,12.00
232,44,8,0.00,0.00
233,44,9,8.00,9.00
234,44,10,6.00,6.00
235,44,11,31.00,33.00
236,45,12,0.00,0.00
237,45,13,0.00,0.00
238,45,14,0.00,0.00
239,45,15,0.00,0.00
240,45,16,8.00,8.00
241,46,1,2.00,6.00
242,46,2,0.00,0.00
243,46,3,3.00,8.00
244,46,4,0.00,0.00
245,46,5,0.00,0.00
246,46,6,20.00,36.00
247,47,7,6.00,12.00
248,47,8,0.00,0.00
249,47,9,5.00,9.00
250,47,10,3.00,6.00
251,47,11,27.00,33.00
252,48,12,0.00,0.00
253,48,13,0.00,0.00
254,48,14,0.00,0.00
255,48,15,0.00,0.00
256,48,16,5.00,8.00
257,49,1,6.00,6.00
258,49,2,0.00,0.00
259,49,3,4.00,8.00
260,49,4,0.00,0.00
261,49,5,0.00,0.00
262,49,6,24.00,36.00
263,50,7,7.00,12.00
264,50,8,0.00,0.00
265,50,9,9.00,9.00
266,50,10,3.00,6.00
267,50,11,25.00,33.00
268,51,12,0.00,0.00
269,51,13,0.00,0.00
270,51,14,0.00,0.00
271,51,15,0.00,0.00
272,51,16,5.00,8.00
273,52,1,5.00,6.00
274,52,2,0.00,0.00
275,52,3,8.00,8.00
276,52,4,0.00,0.00
277,52,5,0.00,0.00
278,52,6,31.00,36.00
279,53,7,11.00,12.00
280,53,8,0.00,0.00
281,53,9,7.00,9.00
282,53,10,6.00,6.00
283,53,11,28.00,33.00
284,54,12,0.00,0.00
285,54,13,0.00,0.00
286,54,14,0.00,0.00
287,54,15,0.00,0.00
288,54,16,6.00,8.00
289,55,1,6.00,6.00
290,55,2,0.00,0.00
291,55,3,7.00,8.00
292,55,4,0.00,0.00
293,55,5,0.00,0.00
294,55,6,32.00,36.00
295,56,7,11.00,12.00
296,56,8,0.00,0.00
297,56,9,8.00,9.00
298,56,10,6.00,6.00
299,56,11,32.00,33.00
300,57,12,0.00,0.00
301,57,13,0.00,0.00
302,57,14,0.00,0.00
303,57,15,0.00,0.00
304,57,16,8.00,8.00
305,58,1,5.00,6.00
306,58,2,0.00,0.00
307,58,3,5.00,8.00
308,58,4,0.00,0.00
309,58,5,0.00,0.00
310,58,6,27.00,36.00
311,59,7,12.00,12.00
312,59,8,0.00,0.00
313,59,9,9.00,9.00
314,59,10,4.00,6.00
315,59,11,27.00,33.00
316,60,12,0.00,0.00
317,60,13,0.00,0.00
318,60,14,0.00,0.00
319,60,15,0.00,0.00
320,60,16,7.00,8.00
321,61,1,4.00,6.00
322,61,2,0.00,0.00
323,61,3,4.00,8.00
324,61,4,0.00,0.00
325,61,5,0.00,0.00
326,61,6,25.00,36.00
327,62,7,10.00,12.00
328,62,8,0.00,0.00
329,62,9,4.00,9.00
330,62,10,4.00,6.00
331,62,11,25.00,33.00
332,63,12,0.00,0.00
333,63,13,0.00,0.00
334,63,14,0.00,0.00
335,63,15,0.00,0.00
336,63,16,6.00,8.00
337,64,1,4.00,6.00
338,64,2,0.00,0.00
339,64,3,6.00,8.00
340,64,4,0.00,0.00
341,64,5,0.00,0.00
342,64,6,33.00,36.00
343,65,7,9.00,12.00
344,65,8,0.00,0.00
345,65,9,6.00,9.00
346,65,10,6.00,6.00
347,65,11,29.00,33.00
348,66,12,0.00,0.00
349,66,13,0.00,0.00
350,66,14,0.00,0.00
351,66,15,0.00,0.00
352,66,16,6.00,8.00
353,67,1,5.00,6.00
354,67,2,0.00,0.00
355,67,3,6.00,8.00
356,67,4,0.00,0.00
357,67,5,0.00,0.00
358,67,6,25.00,36.00
359,68,7,6.00,12.00
360,68,8,0.00,0.00
361,68,9,8.00,9.00
362,68,10,4.00,6.00
363,68,11,21.00,33.00
364,69,12,0.00,0.00
365,69,13,0.00,0.00
366,69,14,0.00,0.00
367,69,15,0.00,0.00
368,69,16,7.00,8.00
369,70,1,4.00,6.00
370,70,2,0.00,0.00
371,70,3,7.00,8.00
372,70,4,0.00,0.00
373,70,5,0.00,0.00
374,70,6,33.00,36.00
375,71,7,12.00,12.00
376,71,8,0.00,0.00
377,71,9,6.00,9.00
378,71,10,6.00,6.00
379,71,11,29.00,33.00
380,72,12,0.00,0.00
381,72,13,0.00,0.00
382,72,14,0.00,0.00
383,72,15,0.00,0.00
384,72,16,8.00,8.00
385,73,1,5.00,6.00
386,73,2,0.00,0.00
387,73,3,8.00,8.00
388,73,4,0.00,0.00
389,73,5,0.00,0.00
390,73,6,33.00,36.00
391,74,7,12.00,12.00
392,74,8,0.00,0.00
393,74,9,6.00,9.00
394,74,10,4.00,6.00
395,74,11,28.00,33.00
396,75,12,0.00,0.00
397,75,13,0.00,0.00
398,75,14,0.00,0.00
399,75,15,0.00,0.00
400,75,16,5.00,8.00
401,76,1,5.00,6.00
402,76,2,0.00,0.00
403,76,3,4.00,8.00
404,76,4,0.00,0.00
405,76,5,0.00,0.00
406,76,6,24.00,36.00
407,77,7,10.00,12.00
408,77,8,0.00,0.00
409,77,9,8.00,9.00
410,77,10,4.00,6.00
411,77,11,27.00,33.00
412,78,12,0.00,0.00
413,78,13,0.00,0.00
414,78,14,0.00,0.00
415,78,15,0.00,0.00
416,78,16,7.00,8.00
417,79,1,6.00,6.00
418,79,2,0.00,0.00
419,79,3,7.00,8.00
420,79,4,0.00,0.00
421,79,5,0.00,0.00
422,79,6,35.00,36.00
423,80,7,9.00,12.00
424,80,8,0.00,0.00
425,80,9,8.00,9.00
426,80,10,6.00,6.00
427,80,11,29.00,33.00
428,81,12,0.00,0.00
429,81,13,0.00,0.00
430,81,14,0.00,0.00
431,81,15,0.00,0.00
432,81,16,7.00,8.00
433,82,1,6.00,6.00
434,82,2,0.00,0.00
435,82,3,4.00,8.00
436,82,4,0.00,0.00
437,82,5,0.00,0.00
438,82,6,31.00,36.00
439,83,7,9.00,12.00
440,83,8,0.00,0.00
441,83,9,8.00,9.00
442,83,10,5.00,6.00
443,83,11,21.00,33.00
444,84,12,0.00,0.00
445,84,13,0.00,0.00
446,84,14,0.00,0.00
447,84,15,0.00,0.00
448,84,16,6.00,8.00
449,85,1,6.00,6.00
450,85,2,0.00,0.00
451,85,3,6.00,8.00
452,85,4,0.00,0.00
453,85,5,0.00,0.00
454,85,6,26.00,36.00
455,86,7,6.00,12.00
456,86,8,0.00,0.00
457,86,9,6.00,9.00
458,86,10,4.00,6.00
459,86,11,25.00,33.00
460,87,12,0.00,0.00
461,87,13,0.00,0.00
462,87,14,0.00,0.00
463,87,15,0.00,0.00
464,87,16,6.00,8.00
465,88,1,4.00,6.00
466,88,2,0.00,0.00
467,88,3,5.00,8.00
468,88,4,0.00,0.00
469,88,5,0.00,0.00
470,88,6,25.00,36.00
471,89,7,8.00,12.00
472,89,8,0.00,0.00
473,89,9,6.00,9.00
474,89,10,4.00,6.00
475,89,11,22.00,33.00
476,90,12,0.00,0.00
477,90,13,0.00,0.00
478,90,14,0.00,0.00
479,90,15,0.00,0.00
480,90,16,6.00,8.00
481,91,1,4.00,6.00
482,91,2,0.00,0.00
483,91,3,7.00,8.00
484,91,4,0.00,0.00
485,91,5,0.00,0.00
486,91,6,33.00,36.00
487,92,7,9.00,12.00
488,92,8,0.00,0.00
489,92,9,6.00,9.00
490,92,10,5.00,6.00
491,92,11,26.00,33.00
492,93,12,0.00,0.00
493,93,13,0.00,0.00
494,93,14,0.00,0.00
495,93,15,0.00,0.00
496,93,16,7.00,8.00
497,94,1,5.00,6.00
498,94,2,0.00,0.00
499,94,3,6.00,8.00
500,94,4,0.00,0.00
501,94,5,0.00,0.00
502,94,6,35.00,36.00
503,95,7,11.00,12.00
504,95,8,0.00,0.00
505,95,9,7.00,9.00
506,95,10,5.00,6.00
507,95,11,27.00,33.00
508,96,12,0.00,0.00
509,96,13,0.00,0.00
510,96,14,0.00,0.00
511,96,15,0.00,0.00
512,96,16,7.00,8.00
513,97,1,4.00,6.00
514,97,2,0.00,0.00
515,97,3,8.00,8.00
516,97,4,0.00,0.00
517,97,5,0.00,0.00
518,97,6,31.00,36.00
519,98,7,11.00,12.00
520,98,8,0.00,0.00
521,98,9,8.00,9.00
522,98,10,4.00,6.00
523,98,11,31.00,33.00
524,99,12,0.00,0.00
525,99,13,0.00,0.00
526,99,14,0.00,0.00
527,99,15,0.00,0.00
528,99,16,7.00,8.00
529,100,1,5.00,6.00
530,100,2,0.00,0.00
531,100,3,6.00,8.00
532,100,4,0.00,0.00
533,100,5,0.00,0.00
534,100,6,32.00,36.00
535,101,7,11.00,12.00
536,101,8,0.00,0.00
537,101,9,7.00,9.00
538,101,10,5.00,6.00
539,101,11,31.00,33.00
540,102,12,0.00,0.00
541,102,13,0.00,0.00
542,102,14,0.00,0.00
543,102,15,0.00,0.00
544,102,16,7.00,8.00
545,103,1,3.00,6.00
546,103,2,0.00,0.00
547,103,3,3.00,8.00
548,103,4,0.00,0.00
549,103,5,0.00,0.00
550,103,6,19.00,36.00
551,104,7,6.00,12.00
552,104,8,0.00,0.00
553,104,9,4.00,9.00
554,104,10,0.00,6.00
555,104,11,14.00,33.00
556,105,12,0.00,0.00
557,105,13,0.00,0.00
558,105,14,0.00,0.00
559,105,15,0.00,0.00
560,105,16,5.00,8.00
561,106,1,1.00,6.00
562,106,2,0.00,0.00
563,106,3,4.00,8.00
564,106,4,0.00,0.00
565,106,5,0.00,0.00
566,106,6,14.00,36.00
567,107,7,8.00,12.00
568,107,8,0.00,0.00
569,107,9,5.00,9.00
570,107,10,2.00,6.00
571,107,11,21.00,33.00
572,108,12,0.00,0.00
573,108,13,0.00,0.00
574,108,14,0.00,0.00
575,108,15,0.00,0.00
576,108,16,3.00,8.00
577,109,1,4.00,6.00
578,109,2,0.00,0.00
579,109,3,5.00,8.00
580,109,4,0.00,0.00
581,109,5,0.00,0.00
582,109,6,19.00,36.00
583,110,7,7.00,12.00
584,110,8,0.00,0.00
585,110,9,8.00,9.00
586,110,10,5.00,6.00
587,110,11,22.00,33.00
588,111,12,0.00,0.00
589,111,13,0.00,0.00
590,111,14,0.00,0.00
591,111,15,0.00,0.00
592,111,16,6.00,8.00
593,112,1,3.00,6.00
594,112,2,0.00,0.00
595,112,3,5.00,8.00
596,112,4,0.00,0.00
597,112,5,0.00,0.00
598,112,6,26.00,36.00
599,113,7,7.00,12.00
600,113,8,0.00,0.00
601,113,9,6.00,9.00
602,113,10,6.00,6.00
603,113,11,27.00,33.00
604,114,12,0.00,0.00
605,114,13,0.00,0.00
606,114,14,0.00,0.00
607,114,15,0.00,0.00
608,114,16,7.00,8.00
609,115,1,4.00,6.00
610,115,2,0.00,0.00
611,115,3,6.00,8.00
612,115,4,0.00,0.00
613,115,5,0.00,0.00
614,115,6,29.00,36.00
615,116,7,9.00,12.00
616,116,8,0.00,0.00
617,116,9,8.00,9.00
618,116,10,6.00,6.00
619,116,11,30.00,33.00
620,117,12,0.00,0.00
621,117,13,0.00,0.00
622,117,14,0.00,0.00
623,117,15,0.00,0.00
624,117,16,7.00,8.00
625,118,1,5.00,6.00
626,118,2,0.00,0.00
627,118,3,7.00,8.00
628,118,4,0.00,0.00
629,118,5,0.00,0.00
630,118,6,36.00,36.00
631,119,7,12.00,12.00
632,119,8,0.00,0.00
633,119,9,9.00,9.00
634,119,10,6.00,6.00
635,119,11,32.00,33.00
636,120,12,0.00,0.00
637,120,13,0.00,0.00
638,120,14,0.00,0.00
639,120,15,0.00,0.00
640,120,16,8.00,8.00
641,121,1,3.00,6.00
642,121,2,0.00,0.00
643,121,3,6.00,8.00
644,121,4,0.00,0.00
645,121,5,0.00,0.00
646,121,6,30.00,36.00
647,122,7,8.00,12.00
648,122,8,0.00,0.00
649,122,9,7.00,9.00
650,122,10,5.00,6.00
651,122,11,20.00,33.00
652,123,12,0.00,0.00
653,123,13,0.00,0.00
654,123,14,0.00,0.00
655,123,15,0.00,0.00
656,123,16,6.00,8.00
657,124,1,6.00,6.00
658,124,2,0.00,0.00
659,124,3,8.00,8.00
660,124,4,0.00,0.00
661,124,5,0.00,0.00
662,124,6,34.00,36.00
663,125,7,11.00,12.00
664,125,8,0.00,0.00
665,125,9,6.00,9.00
666,125,10,5.00,6.00
667,125,11,24.00,33.00
668,126,12,0.00,0.00
669,126,13,0.00,0.00
670,126,14,0.00,0.00
671,126,15,0.00,0.00
672,126,16,8.00,8.00
673,127,1,3.00,6.00
674,127,2,0.00,0.00
675,127,3,1.00,8.00
676,127,4,0.00,0.00
677,127,5,0.00,0.00
678,127,6,11.00,36.00
679,128,7,8.00,12.00
680,128,8,0.00,0.00
681,128,9,3.00,9.00
682,128,10,1.00,6.00
683,128,11,13.00,33.00
684,129,12,0.00,0.00
685,129,13,0.00,0.00
686,129,14,0.00,0.00
687,129,15,0.00,0.00
688,129,16,2.00,8.00
689,130,1,3.00,6.00
690,130,2,0.00,0.00
691,130,3,5.00,8.00
692,130,4,0.00,0.00
693,130,5,0.00,0.00
694,130,6,15.00,36.00
695,131,7,5.00,12.00
696,131,8,0.00,0.00
697,131,9,3.00,9.00
698,131,10,5.00,6.00
699,131,11,13.00,33.00
700,132,12,0.00,0.00
701,132,13,0.00,0.00
702,132,14,0.00,0.00
703,132,15,0.00,0.00
704,132,16,4.00,8.00
705,133,1,6.00,6.00
706,133,2,0.00,0.00
707,133,3,8.00,8.00
708,133,4,0.00,0.00
709,133,5,0.00,0.00
710,133,6,32.00,36.00
711,134,7,6.00,12.00
712,134,8,0.00,0.00
713,134,9,7.00,9.00
714,134,10,4.00,6.00
715,134,11,27.00,33.00
716,135,12,0.00,0.00
717,135,13,0.00,0.00
718,135,14,0.00,0.00
719,135,15,0.00,0.00
720,135,16,7.00,8.00
721,136,1,5.00,6.00
722,136,2,0.00,0.00
723,136,3,7.00,8.00
724,136,4,0.00,0.00
725,136,5,0.00,0.00
726,136,6,24.00,36.00
727,137,7,11.00,12.00
728,137,8,0.00,0.00
729,137,9,6.00,9.00
730,137,10,6.00,6.00
731,137,11,17.00,33.00
732,138,12,0.00,0.00
733,138,13,0.00,0.00
734,138,14,0.00,0.00
735,138,15,0.00,0.00
736,138,16,6.00,8.00
737,139,1,5.00,6.00
738,139,2,0.00,0.00
739,139,3,6.00,8.00
740,139,4,0.00,0.00
741,139,5,0.00,0.00
742,139,6,18.00,36.00
743,140,7,5.00,12.00
744,140,8,0.00,0.00
745,140,9,7.00,9.00
746,140,10,4.00,6.00
747,140,11,26.00,33.00
748,141,12,0.00,0.00
749,141,13,0.00,0.00
750,141,14,0.00,0.00
751,141,15,0.00,0.00
752,141,16,6.00,8.00
753,142,1,4.00,6.00
754,142,2,0.00,0.00
755,142,3,4.00,8.00
756,142,4,0.00,0.00
757,142,5,0.00,0.00
758,142,6,14.00,36.00
759,143,7,10.00,12.00
760,143,8,0.00,0.00
761,143,9,5.00,9.00
762,143,10,1.00,6.00
763,143,11,19.00,33.00
764,144,12,0.00,0.00
765,144,13,0.00,0.00
766,144,14,0.00,0.00
767,144,15,0.00,0.00
768,144,16,2.00,8.00
769,145,1,3.00,6.00
770,145,2,0.00,0.00
771,145,3,4.00,8.00
772,145,4,0.00,0.00
773,145,5,0.00,0.00
774,145,6,21.00,36.00
775,146,7,6.00,12.00
776,146,8,0.00,0.00
777,146,9,6.00,9.00
778,146,10,5.00,6.00
779,146,11,19.00,33.00
780,147,12,0.00,0.00
781,147,13,0.00,0.00
782,147,14,0.00,0.00
783,147,15,0.00,0.00
784,147,16,6.00,8.00
785,148,1,5.00,6.00
786,148,2,0.00,0.00
787,148,3,3.00,8.00
788,148,4,0.00,0.00
789,148,5,0.00,0.00
790,148,6,27.00,36.00
791,149,7,8.00,12.00
792,149,8,0.00,0.00
793,149,9,6.00,9.00
794,149,10,6.00,6.00
795,149,11,23.00,33.00
796,150,12,0.00,0.00
797,150,13,0.00,0.00
798,150,14,0.00,0.00
799,150,15,0.00,0.00
800,150,16,7.00,8.00
801,151,1,3.00,6.00
802,151,2,0.00,0.00
803,151,3,2.00,8.00
804,151,4,0.00,0.00
805,151,5,0.00,0.00
806,151,6,14.00,36.00
807,152,7,7.00,12.00
808,152,8,0.00,0.00
809,152,9,3.00,9.00
810,152,10,2.00,6.00
811,152,11,14.00,33.00
812,153,12,0.00,0.00
813,153,13,0.00,0.00
814,153,14,0.00,0.00
815,153,15,0.00,0.00
816,153,16,3.00,8.00
817,154,1,2.00,6.00
818,154,2,0.00,0.00
819,154,3,4.00,8.00
820,154,4,0.00,0.00
821,154,5,0.00,0.00
822,154,6,15.00,36.00
823,155,1,3.00,6.00
824,155,2,0.00,0.00
825,155,3,3.00,8.00
826,155,4,0.00,0.00
827,155,5,0.00,0.00
828,155,6,18.00,36.00
829,156,7,0.00,0.00
830,156,8,0.00,0.00
831,156,9,0.00,0.00
832,156,10,0.00,0.00
833,156,11,0.00,0.00
834,157,7,5.00,12.00
835,157,8,0.00,0.00
836,157,9,5.00,9.00
837,157,10,3.00,6.00
838,157,11,16.00,33.00
839,158,12,0.00,0.00
840,158,13,0.00,0.00
841,158,14,0.00,0.00
842,158,15,0.00,0.00
843,158,16,5.00,8.00
844,159,12,0.00,0.00
845,159,13,0.00,0.00
846,159,14,0.00,0.00
847,159,15,0.00,0.00
848,159,16,4.00,8.00
849,160,1,4.00,6.00
850,160,2,0.00,0.00
851,160,3,4.00,8.00
852,160,4,0.00,0.00
853,160,5,0.00,0.00
854,160,6,16.00,36.00
855,161,7,10.00,12.00
856,161,8,0.00,0.00
857,161,9,6.00,9.00
858,161,10,4.00,6.00
859,161,11,19.00,33.00
860,162,12,0.00,0.00
861,162,13,0.00,0.00
862,162,14,0.00,0.00
863,162,15,0.00,0.00
864,162,16,7.00,8.00
865,163,1,6.00,6.00
866,163,2,0.00,0.00
867,163,3,8.00,8.00
868,163,4,0.00,0.00
869,163,5,0.00,0.00
870,163,6,33.00,36.00
871,164,7,10.00,12.00
872,164,8,0.00,0.00
873,164,9,7.00,9.00
874,164,10,6.00,6.00
875,164,11,30.00,33.00
876,165,12,0.00,0.00
877,165,13,0.00,0.00
878,165,14,0.00,0.00
879,165,15,0.00,0.00
880,165,16,7.00,8.00
881,166,1,2.00,6.00
882,166,2,0.00,0.00
883,166,3,2.00,8.00
884,166,4,0.00,0.00
885,166,5,0.00,0.00
886,166,6,12.00,36.00
887,167,7,8.00,12.00
888,167,8,0.00,0.00
889,167,9,3.00,9.00
890,167,10,3.00,6.00
891,167,11,14.00,33.00
892,168,12,0.00,0.00
893,168,13,0.00,0.00
894,168,14,0.00,0.00
895,168,15,0.00,0.00
896,168,16,5.00,8.00
897,169,1,5.00,6.00
898,169,2,0.00,0.00
899,169,3,7.00,8.00
900,169,4,0.00,0.00
901,169,5,0.00,0.00
902,169,6,33.00,36.00
903,170,7,11.00,12.00
904,170,8,0.00,0.00
905,170,9,9.00,9.00
906,170,10,5.00,6.00
907,170,11,30.00,33.00
908,171,12,0.00,0.00
909,171,13,0.00,0.00
910,171,14,0.00,0.00
911,171,15,0.00,0.00
912,171,16,6.00,8.00
913,172,1,5.00,6.00
914,172,2,0.00,0.00
915,172,3,6.00,8.00
916,172,4,0.00,0.00
917,172,5,0.00,0.00
918,172,6,31.00,36.00
919,173,7,11.00,12.00
920,173,8,0.00,0.00
921,173,9,6.00,9.00
922,173,10,5.00,6.00
923,173,11,30.00,33.00
924,174,12,0.00,0.00
925,174,13,0.00,0.00
926,174,14,0.00,0.00
927,174,15,0.00,0.00
928,174,16,7.00,8.00
929,175,1,1.00,6.00
930,175,2,0.00,0.00
931,175,3,1.00,8.00
932,175,4,0.00,0.00
933,175,5,0.00,0.00
934,175,6,15.00,36.00
935,176,7,3.00,12.00
936,176,8,0.00,0.00
937,176,9,4.00,9.00
938,176,10,0.00,6.00
939,176,11,18.00,33.00
940,177,12,0.00,0.00
941,177,13,0.00,0.00
942,177,14,0.00,0.00
943,177,15,0.00,0.00
944,177,16,1.00,8.00
945,178,1,6.00,6.00
946,178,2,0.00,0.00
947,178,3,5.00,8.00
948,178,4,0.00,0.00
949,178,5,0.00,0.00
950,178,6,20.00,36.00
951,179,1,5.00,6.00
952,179,2,0.00,0.00
953,179,3,6.00,8.00
954,179,4,0.00,0.00
955,179,5,0.00,0.00
956,179,6,24.00,36.00
957,180,7,11.00,12.00
958,180,8,0.00,0.00
959,180,9,7.00,9.00
960,180,10,4.00,6.00
961,180,11,26.00,33.00
962,181,7,0.00,0.00
963,181,8,0.00,0.00
964,181,9,0.00,0.00
965,181,10,0.00,0.00
966,181,11,0.00,0.00
967,182,12,0.00,0.00
968,182,13,0.00,0.00
969,182,14,0.00,0.00
970,182,15,0.00,0.00
971,182,16,8.00,8.00
972,183,12,0.00,0.00
973,183,13,0.00,0.00
974,183,14,0.00,0.00
975,183,15,0.00,0.00
976,183,16,7.00,8.00
977,184,1,6.00,8.00
978,184,2,0.00,0.00
979,184,3,5.00,12.00
980,184,4,13.00,30.00
981,184,5,0.00,0.00
982,184,6,0.00,0.00
983,185,1,1.00,6.00
984,185,2,0.00,0.00
985,185,3,4.00,8.00
986,185,4,0.00,0.00
987,185,5,0.00,0.00
988,185,6,18.00,36.00
989,186,7,0.00,0.00
990,186,8,0.00,0.00
991,186,9,0.00,0.00
992,186,10,0.00,0.00
